tconst,primaryTitle
tt0058994,Bruce's Fingers
tt0059680,Satan's Harvest
tt0060462,The Girls from Thunder Strip
tt0060939,Santo vs. the Head Hunters
tt0060951,A Scream in the Streets
tt0062359,They Call Me Shmil
tt0062936,Enter the Game of Death
tt0063018,Iron Dragon Strikes Back
tt0063066,Hibotan bakuto: Oryû sanjô
tt0063137,The Invincible Six
tt0063353,Nihon jokyo-den: tekka geisha
tt0064126,French Intrigue
tt0064283,An Elephant Called Slowly
tt0064321,The Female Bunch
tt0064451,A Touch of Zen
tt0064649,The McMasters
tt0064741,Heads for Sale
tt0064746,OSS 117 prend des vacances
tt0064930,Santo vs. Blue Demon in Atlantis
tt0064932,Santo and Blue Demon vs. the Monsters
tt0064933,The World of the Dead
tt0064945,Schwarzer Nerz auf zarter Haut
tt0064964,Overrun!
tt0065080,The Heist
tt0065171,The Vengeance of the Vampire Women
tt0065360,"Tick, Tick, Tick"
tt0065374,The Adventurers
tt0065377,Airport
tt0065401,Angel Unchained
tt0065405,Angels Die Hard
tt0065443,The Ambitious
tt0065450,Vengeance!
tt0065460,The Beast
tt0065462,Beneath the Planet of the Apes
tt0065474,Black Angels
tt0065495,Brothers Five
tt0065501,A Bullet for Pretty Boy
tt0065511,C.C. & Company
tt0065520,Cannon for Cordoba
tt0065538,Chanoc contra el tigre y el vampiro
tt0065539,Chanoc en las garras de las fieras
tt0065543,Chi-zome no daimon
tt0065548,Chrezvychainyy komissar
tt0065555,Violent City
tt0065570,El Condor
tt0065579,Cotton Comes to Harlem
tt0065610,Darker Than Amber
tt0065626,Play It Cool
tt0065681,Black Lemons
tt0065688,Zapata
tt0065713,Ezo yakata no ketto
tt0065720,Figures in a Landscape
tt0065755,Gamera vs. Jiger
tt0065776,Space Amoeba
tt0065803,The Angry River
tt0065813,Melody of Rebellion
tt0065815,The Hard Ride
tt0065826,Hell's Bloody Devils
tt0065850,Hornets' Nest
tt0065932,Blind Woman's Curse
tt0065958,Lady of Steel
tt0065966,The Last Escape
tt0065973,Summer Love
tt0065975,Churchill's Leopards
tt0065999,The Hammer of God
tt0066001,The Looking Glass War
tt0066004,Piao xiang jian yu
tt0066020,Lucky Seven
tt0066031,Machibuse
tt0066064,The McKenzie Break
tt0066078,Michael the Brave
tt0066095,Moonfire
tt0066126,The Losers
tt0066151,Ninja Destroyer
tt0066175,Odin iz nas
tt0066210,Coffin Full of Dollars
tt0066228,Los corsarios
tt0066230,Bullets Over Dallas
tt0066241,Prem Pujari
tt0066250,Prom
tt0066258,Puppet on a Chain
tt0066282,Raj na ziemi
tt0066285,The Ravager
tt0066296,The Revolutionary
tt0066312,"Rosolino Paternò, soldato..."
tt0066350,"You're Jinxed, Friend You've Met Sacramento"
tt0066364,Shango
tt0066366,Swordsman with an Umbrella
tt0066371,Step on the Gas
tt0066375,Shôwa zankyô-den: Shinde moraimasu
tt0066417,Street of a Thousand Pleasures
tt0066471,Too Late the Hero
tt0066473,Tora! Tora! Tora!
tt0066477,Kung Fu Master - Bruce Lee Style
tt0066538,Vzryv zamedlennogo deystviya
tt0066549,Waterloo
tt0066565,White Sun of the Desert
tt0066584,Nu jian kuang dao
tt0066587,The Singing Killer
tt0066593,You Can't Win 'Em All
tt0066594,The Wandering Swordsman
tt0066602,Zatoichi and the One-Armed Swordsman
tt0066603,Zatoichi Meets Yojimbo
tt0066612,Compañeros
tt0066743,Acquasanta Joe
tt0066745,"Adiós, Sabata"
tt0066752,Akcja Brutus
tt0066764,Anche per Django le carogne hanno un prezzo
tt0066767,The Anderson Tapes
tt0066771,Angels Hard as They Come
tt0066779,The Battle of Crete
tt0066790,Attack of the Kung Fu Girls
tt0066830,The Big Doll House
tt0066832,Billy Jack
tt0066872,Bury Me an Angel
tt0066879,Cain's Way
tt0066886,Captain Apache
tt0066888,Caravan
tt0066905,Chain Gang Women
tt0066915,Chrome and Hot Leather
tt0066920,Clay Pigeon
tt0066929,The Dove Must Not Fly
tt0066949,Il corsaro
tt0066950,Blackie the Pirate
tt0066970,Cold Sweat
tt0066974,Deaf Mute Heroine
tt0066985,Desert of Fire
tt0066995,Diamonds Are Forever
tt0066999,Dirty Harry
tt0067000,Do Boond Pani
tt0067002,Animal Treasure Island
tt0067009,One-Armed Boxer
tt0067013,Dostoyanie respubliki
tt0067024,Huo bing
tt0067025,Duel of Fists
tt0067026,Duel of the Iron Fist
tt0067035,"Raise Your Hands, Dead Man, You're Under Arrest"
tt0067037,The Angry Guest
tt0067055,Equinox
tt0067065,Escape from the Planet of the Apes
tt0067069,Evel Knievel
tt0067075,The Hideout
tt0067100,Firecracker
tt0067113,Winged Devils
tt0067116,The French Connection
tt0067123,Gamera vs. Zigra
tt0067128,Get Carter
tt0067133,Ginger
tt0067145,The Godson
tt0067148,Godzilla vs. Hedorah
tt0067171,H-Bomb
tt0067202,Los hijos de Satanás
tt0067206,The Hitchhikers
tt0067216,The Horsemen
tt0067224,The Hunting Party
tt0067254,The Invincible Sword
tt0067268,The Jesus Trip
tt0067270,The Sword
tt0067286,"30,000 Miles Under the Sea"
tt0067303,Long Live ... Your Death!
tt0067310,FBI Operation Pakistan
tt0067313,"Korona Rossiyskoy Imperii, ili Snova Neulovimye"
tt0067322,The Lady Hermit
tt0067323,Troubleshooters
tt0067329,The Last Run
tt0067334,Le Mans
tt0067340,I leoni di Pietroburgo
tt0067358,The Long Chase
tt0067389,Sergeant Klems
tt0067390,Man of Violence
tt0067395,The Price of Death
tt0067397,Swashbuckler
tt0067429,Caliber 9
tt0067447,Motodrama
tt0067492,Nihon yakuza-den: Sôchiyô e no michi
tt0067525,The Omega Man
tt0067535,The Organization
tt0067538,Ostatni swiadek
tt0067559,The Peace Killers
tt0067574,5 i 1/2 Bladego Józka
tt0067597,Poludnik zero
tt0067624,The Proud Rider
tt0067637,The Legend of Frenchie King
tt0067658,Von Richthofen and Brown
tt0067693,To the Last Man
tt0067705,The Sandpit Generals
tt0067707,Santo vs. Frankenstein's Daughter
tt0067708,Santo and Blue Demon vs. Dracula and the Wolf Man
tt0067741,Shaft
tt0067751,Showa zankyo-den: hoero karajishi
tt0067753,The Long Swift Sword of Siegfried
tt0067766,Smoke in the Wind
tt0067770,Red Sun
tt0067774,Sometimes a Great Notion
tt0067810,Sweet Sweetback's Baadasssss Song
tt0067812,Miyamoto Musashi VI
tt0067824,The Big Boss
tt0067827,Las tarántulas
tt0067854,The Invincible Eight
tt0067870,A Town Called Hell
tt0067873,Trad
tt0067907,"Unman, Wittering and Zigo"
tt0067912,Apocalypse Joe
tt0067927,Vanishing Point
tt0067933,Vengeance of a Snowgirl
tt0067943,The Widow Couderc
tt0067976,When Eight Bells Toll
tt0067985,The Wild Country
tt0067995,Women in Cages
tt0067997,The Anonymous Heroes
tt0067999,X312 - Flight to Hell
tt0068000,Snake Fist Fighter
tt0068003,King Eagle
tt0068004,The Shadow Whip
tt0068015,Beach of the War Gods
tt0068024,Matalo! (Kill Him)
tt0068159,The 72 Desperate Rebels
tt0068164,The Abductors
tt0068168,Across 110th Street
tt0068177,The Manipulator
tt0068178,Weekend of a Champion
tt0068180,Agent nr 1
tt0068182,"Aguirre, the Wrath of God"
tt0068183,Ricco
tt0068202,The Godfather's Friend
tt0068211,Angels' Wild Women
tt0068232,Return of the Evil Dead
tt0068244,Azit the Paratrooper Dog
tt0068273,The Big Bird Cage
tt0068274,The Big Game
tt0068281,Black Gunn
tt0068287,Mang quan
tt0068295,Bloody Friday
tt0068305,Bombay to Goa
tt0068310,The Boxer from Shantung
tt0068319,Brother on the Run
tt0068347,The Burglars
tt0068372,Man of Iron
tt0068382,Cinco mil dolares de recompensa
tt0068403,Come Back Charleston Blue
tt0068408,Conquest of the Planet of the Apes
tt0068413,Corky
tt0068431,Cu mâinile curate
tt0068442,The Pirate
tt0068445,The Daredevil
tt0068482,The Devil's Mirror
tt0068486,The Dirt Gang
tt0068491,The Doberman Gang
tt0068497,Doomsday Voyage
tt0068524,Man of the East
tt0068545,The Erotic Adventures of Zorro
tt0068576,Fear Is the Key
tt0068588,The Final Comedown
tt0068599,Fly Me
tt0068605,Four Riders
tt0068617,Fuzz
tt0068620,Garam Masala
tt0068629,Street Mobster
tt0068638,The Getaway
tt0068650,Hanzo the Razor: Sword of Justice
tt0068663,The Groundstar Conspiracy
tt0068673,Hammer
tt0068676,Hapkido
tt0068702,Sonny and Jed
