tconst,primaryTitle
tt0060144,Aventura en las islas Cíes
tt0060526,Huyendo del halcón
tt0060939,Santo vs. the Head Hunters
tt0061069,Taro the Dragon Boy
tt0063137,The Invincible Six
tt0064182,Rimal min dhahab
tt0064190,Cristo 70
tt0064195,Girls for Mercenaries
tt0064283,An Elephant Called Slowly
tt0064451,A Touch of Zen
tt0064535,Tibetana
tt0064702,Moy papa - kapitan
tt0064741,Heads for Sale
tt0064746,OSS 117 prend des vacances
tt0064806,The Phantom Tollbooth
tt0064863,Quelé do Pajeú
tt0064900,Robinson Crusoe
tt0064930,Santo vs. Blue Demon in Atlantis
tt0064932,Santo and Blue Demon vs. the Monsters
tt0064933,The World of the Dead
tt0065040,Strange Holiday
tt0065134,Two Mules for Sister Sara
tt0065171,The Vengeance of the Vampire Women
tt0065374,The Adventurers
tt0065375,The Adventures of Gerard
tt0065420,Long Live Robin Hood
tt0065421,The Aristocats
tt0065443,The Ambitious
tt0065447,Ballada o Beringe i ego druzyakh
tt0065456,Beast of Blood
tt0065462,Beneath the Planet of the Apes
tt0065489,Brancaleone at the Crusades
tt0065493,The Bridge in the Jungle
tt0065500,El bueno para nada
tt0065525,Carry on Up the Jungle
tt0065538,Chanoc contra el tigre y el vampiro
tt0065539,Chanoc en las garras de las fieras
tt0065544,Little Remi and Famous Dog Capi
tt0065570,El Condor
tt0065588,Cleopatra
tt0065640,Il dio serpente
tt0065666,Pero the Lump's Gang
tt0065670,Twelve Chairs
tt0065749,Slaughter on the Khyber Pass
tt0065755,Gamera vs. Jiger
tt0065776,Space Amoeba
tt0065803,The Angry River
tt0065817,"Hassan, the Bald"
tt0065820,The Hawaiians
tt0065832,Hercules in New York
tt0065845,El hombre que vino del odio
tt0065852,Horror of the Blood Monsters
tt0065908,How I Unleashed World War II
tt0065938,Kelly's Heroes
tt0065951,Strogoff
tt0065958,Lady of Steel
tt0065969,The Last Valley
tt0065984,Die liebestollen Baronessen
tt0065988,Little Big Man
tt0066038,The Magnificent Robin Hood
tt0066049,A Man Called Horse
tt0066095,Moonfire
tt0066121,On the Comet
tt0066144,The Night of the Sorcerers
tt0066151,Ninja Destroyer
tt0066188,Chapaqua's Gold
tt0066202,"Paragon, gola!"
tt0066227,Pippi in the South Seas
tt0066228,Los corsarios
tt0066230,Bullets Over Dallas
tt0066249,The Private Life of Sherlock Holmes
tt0066256,Pufnstuf
tt0066265,Pippi on the Run
tt0066303,Risk
tt0066307,Robin Hood: the Invincible Archer
tt0066335,The Savage Wild
tt0066384,Skullduggery
tt0066388,Snow Bear
tt0066395,A Sword for Brando
tt0066417,Street of a Thousand Pleasures
tt0066438,Tarzan's Deadly Silence
