tconst,primaryTitle
tt0061069,Taro the Dragon Boy
tt0064806,The Phantom Tollbooth
tt0064956,"Segundo Festival de Mortadelo y Filemón, agencia de información"
tt0065421,The Aristocats
tt0065434,Atakku no. 1
tt0065544,Little Remi and Famous Dog Capi
tt0065588,Cleopatra
tt0066747,Aventuras com Tio Maneco
tt0066783,El armario del tiempo
tt0066817,Bedknobs and Broomsticks
tt0067002,Animal Treasure Island
tt0067148,Godzilla vs. Hedorah
tt0067280,Journey Back to Oz
tt0067286,"30,000 Miles Under the Sea"
tt0067595,The Point
tt0067749,Shinbone Alley
tt0068612,Fritz the Cat
tt0069289,Snoopy Come Home
tt0069383,Tintin and the Lake of Sharks
tt0069476,Vozes do Medo
tt0070016,Charlotte's Web
tt0070165,Heavy Traffic
tt0070326,The Little Mermaid
tt0070544,Fantastic Planet
tt0070608,Robin Hood
tt0071203,Belladonna of Sadness
tt0071361,Coonskin
tt0071448,Dunderklumpen!
tt0071913,The Nine Lives of Fritz the Cat
tt0072004,A Thousand and One Nights
tt0072316,The Three Wise Men
tt0072751,Bugs Bunny Superstar
tt0072882,Dirty Duck
tt0072901,The Twelve Tasks of Asterix
tt0073000,The Pinchcliffe Grand Prix
tt0073249,Klop 75 ili Mayakovskiy smeyotsya
tt0073691,Tarzoon: Shame of the Jungle
tt0073814,Trapito
tt0074121,Allegro non troppo
tt0074539,The Smurfs and the Magic Flute
tt0074631,Historias de amor y masacre
tt0074657,Hugo the Hippo
tt0074705,Jack and the Beanstalk
tt0075011,Once Upon a Time
tt0075811,The Sorcerer's Apprentice
tt0076119,Gulliver's Travels
tt0076363,The Many Adventures of Winnie the Pooh
tt0076416,The Mouse and His Child
tt0076538,Pete's Dragon
tt0076591,"Race for Your Life, Charlie Brown"
tt0076593,Raggedy Ann & Andy: A Musical Adventure
tt0076618,The Rescuers
tt0076922,Around the World with Bolek and Lolek
tt0076929,Wizards
tt0076931,Wombling Free
tt0077204,Lucky Luke: Ballad of the Daltons
tt0077673,Firebird: Daybreak Chapter
tt0077869,The Lord of the Rings
tt0078187,Lupin the 3rd: The Mystery of Mamo
tt0078287,Mr. Rossi's Dreams
tt0078349,Swan Lake
tt0078477,The Water Babies
tt0078480,Watership Down
tt0078495,Metamorphoses
tt0078780,Animalympics
tt0078915,The Bugs Bunny/Road-Runner Movie
tt0078983,Colargol i cudowna walizka
tt0079102,Elpidio Valdés
tt0079258,Foam Bath
tt0079293,Phoenix 2772
tt0079475,The Little Convict
tt0079648,Nutcracker Fantasy
tt0079820,The King and the Mockingbird
tt0079833,Lupin III: The Castle of Cagliostro
tt0080461,"Bon Voyage, Charlie Brown (and Don't Come Back!!)"
tt0080772,Galaxy Express 999
tt0081350,The Tale of John and Mary
tt0081648,Terra e...
tt0081881,Chie the Brat
tt0082009,American Pop
tt0082406,The Fox and the Hound
tt0082478,Grendel Grendel Grendel
tt0082509,Heavy Metal
tt0082679,"The Looney, Looney, Looney Bugs Bunny Movie"
tt0082892,Peter-No-Tail
tt0083053,Gauche the Cellist
tt0083258,The Fantastic Adventures of Unico
tt0083559,The Angel
tt0083701,Bugs Bunny's 3rd Movie: 1001 Rabbit Tales
tt0083931,Son of the White Mare
tt0084060,Heidi's Song
tt0084070,Hey Good Lookin'
tt0084237,The Last Unicorn
tt0084315,The Masters of Time
tt0084458,The Wizard of Oz
tt0084509,The Plague Dogs
tt0084564,Queen Millennia
tt0084649,The Secret of NIMH
tt0084774,Techno Police 21C
tt0084881,Arcadia of My Youth
tt0085218,Barefoot Gen
tt0085390,Daffy Duck's Movie: Fantastic Island
tt0085394,Lucky Luke: The Daltons on the Run
tt0085483,Elpidio Valdés contra dólar y cañón
tt0085542,Fire and Ice
tt0086094,El pequeño vagabundo
tt0086148,Golgo 13: The Professional
tt0086152,Adventures of the Blue Knight
tt0086160,Puss 'N Boots Travels Around the World
tt0086203,Rock & Rule
tt0086224,Rycerzyk czerwonego serduszka
tt0086489,Twice Upon a Time
tt0086515,Unico in the Island of Magic
tt0086520,Urusei Yatsura: Only You
tt0086538,Los viajes de Gulliver
tt0086857,The Adventures of Pinocchio
tt0086964,The Big Bang
tt0087026,The Camel Boy
tt0087170,Dot and the Bunny
tt0087202,The Enchanted Journey
tt0087376,"Gwen, the Book of Sand"
tt0087543,Katy Caterpillar
tt0087544,Nausicaä of the Valley of the Wind
tt0087660,Macross: Do You Remember Love?
tt0087925,I Go Pogo
tt0088028,Lensman
tt0088188,Straszydla
tt0088334,Urusei Yatsura 2: Beautiful Dreamer
tt0088678,The Adventures of Mark Twain
tt0088748,Asterix Versus Caesar
tt0088814,The Black Cauldron
tt0088885,The Care Bears Movie
tt0088955,The Cosmic Eye
tt0088983,The Dagger of Kamui
tt0089042,Dot and the Koala
tt0089206,Kenji Miyazawa's Night on the Galactic Railroad
tt0089272,Here Come the Littles
tt0089793,Peter-No-Tail in America
tt0089877,Rainbow Brite and the Star Stealer
tt0089943,Lupin III: Legend of the Gold of Babylon
tt0089984,He-Man and She-Ra: The Secret of the Sword
tt0090065,Starchaser: The Legend of Orin
tt0090244,Urusei Yatsura 3: Remember My Love
tt0090248,Vampire Hunter D
tt0090249,Vampires in Havana
tt0090315,When the Wind Blows
tt0090633,An American Tail
tt0090658,Arion
tt0090667,Asterix in Britain
tt0090760,Bolek i Lolek na Dzikim Zachodzie
tt0090799,Care Bears Movie II: A New Generation
tt0090834,The Octopuses from the Second Floor
tt0090960,Dot and Keeto
tt0090961,Dot and the Whale
tt0091123,GoBots: Battle of the Rock Lords
tt0091149,The Great Mouse Detective
tt0091309,They Were Eleven
tt0091584,My Little Pony: The Movie
tt0091794,Project A-Ko
tt0091862,Robotech: The Movie
tt0091880,Råttis
tt0091889,Samson & Sally
tt0092054,"Tato, nie bój sie dentysty!"
tt0092067,Castle in the Sky
tt0092106,The Transformers: The Movie
tt0092141,Urusei Yatsura 4: Lum the Forever
tt0092167,Merry Christmas Octopus
tt0092218,Windaria
tt0092695,The Brave Little Toaster
tt0092723,The Care Bears Adventure in Wonderland
tt0092752,The Chipmunk Adventure
tt0092916,Dot Goes to Hollywood
tt0092917,Dot and the Smugglers
tt0093025,Tales of the Brothers Quay
tt0093101,Twilight of the Cockroaches
tt0093118,Grey Digital Target
tt0093207,Wings of Honneamise
tt0093251,Stowaways on the Ark
tt0093611,The Adventures of Oliver Twist
tt0093743,Pinocchio and the Emperor of the Night
tt0093896,Rupan III: The Fuma Conspiracy
tt0094205,Ubu and the Big Thug
tt0094238,Valhalla
tt0094269,Vincent
tt0094377,Zima w dolinie Muminkow
tt0094625,Akira
tt0094904,Computer Dreams
tt0094939,Daffy Duck's Quackbusters
tt0094954,David and the Magic Pearl
tt0095262,Mobile Suit Gundam: Char's Counterattack
tt0095327,Grave of the Fireflies
tt0095431,Katy Meets the Aliens
tt0095448,Kimagure Orange Road: I Want to Return to That Day
tt0095489,The Land Before Time
tt0095512,Legend of the Galactic Heroes: My Conquest is the Sea of Stars
tt0095525,Gandahar
tt0095715,Alice
tt0095776,Oliver & Company
tt0095894,Pound Puppies and the Legend of Big Paw
tt0096209,Turning Table
tt0096283,My Neighbor Totoro
tt0096353,Urusei Yatsura 5: The Final Chapter
tt0096438,Who Framed Roger Rabbit
tt0096742,Town Musicians of Bremen
