tconst,primaryTitle
tt0064491,Winter in Mallorca
tt0064727,The Bloody Judge
tt0064832,Posol Sovetskogo Soyuza
tt0065034,Staryy dom
tt0065127,Tchaikovsky
tt0065447,Ballada o Beringe i ego druzyakh
tt0065501,A Bullet for Pretty Boy
tt0065547,Chisum
tt0065549,The Christine Jorgensen Story
tt0065593,Cromwell
tt0065688,Zapata
tt0065792,"Goya, historia de una soledad"
tt0066078,Michael the Brave
tt0066109,The Music Lovers
tt0066130,Ned Kelly
tt0066206,Patton
tt0066393,Song of Norway
tt0066430,The Loves of Liszt
tt0066494,Tropic of Cancer
tt0066549,Waterloo
tt0066730,10 Rillington Place
tt0066787,One Day Before the Rainy Season
tt0066885,Cao-Xa
tt0066916,Chyornye sukhari
tt0066993,The Devils
tt0066997,Directed by John Ford
tt0067069,Evel Knievel
tt0067276,Joe Hill
tt0067402,"Mary, Queen of Scots"
tt0067456,The Murder of Fred Hampton
tt0067483,Nicholas and Alexandra
tt0067548,Pan Dodek
tt0067648,Raga
tt0067658,Von Richthofen and Brown
tt0067698,Sacco & Vanzetti
tt0067819,The Secret of a Great Narrator
tt0067852,Three Lives
tt0068182,"Aguirre, the Wrath of God"
tt0068223,Arruza
tt0068226,Mordet på Trotskij
tt0068346,The Mattei Affair
tt0068379,Ciao Manhattan
tt0068383,Ciprian Porumbescu
tt0068428,The Cross and the Switchblade
tt0068446,The Darwin Adventure
tt0068487,Dirty Little Billy
tt0068585,Film Portrait
tt0068662,The Great Waltz
tt0068679,Harminckét nevem volt
tt0068828,Lady Sings the Blues
tt0068883,Ludwig
tt0068884,Ludwig - Requiem for a Virgin King
tt0068903,Malcolm X
tt0068918,Manson
tt0068924,Marjoe
tt0069057,Pancho Villa
tt0069110,Pope Joan
tt0069168,Reed: Insurgent Mexico
tt0069225,Savage Messiah
tt0069412,Trotz alledem!
tt0069434,Ukroshcheniye ognya
tt0069438,I Am a Dancer
tt0069528,Young Winston
tt0069824,"Brother Sun, Sister Moon"
tt0069976,Dillinger
tt0069977,Cantemir
tt0070008,Duma o Kovpake: Nabat
tt0070109,Giordano Bruno
tt0070170,Henry VIII and His Six Wives
tt0070184,Hitler: The Last Ten Days
tt0070242,Jimi Hendrix
tt0070260,Coup d'Etat
tt0070278,Kopernik
tt0070325,Little Laura and Big John
tt0070336,Der Lord von Barmbeck
tt0070346,Luther
tt0070377,Maurie
tt0070403,The Mommila Murders
tt0070431,Nadezhda
tt0070511,Papillon
tt0070518,Pat Garrett & Billy the Kid
tt0070520,Pavlos Melas
tt0070666,Serpico
tt0070792,Theodor Hierneis oder Wie man ehem. Hofkoch wird
tt0070895,Walking Tall
tt0070957,Tenderness of the Wolves
tt0071085,43: The Richard Petty Story
tt0071096,The Abdication
tt0071125,Aloïse
tt0071148,Year One
tt0071151,Antonia: A Portrait of the Woman
tt0071163,Kenji Mizoguchi: The Life of a Film Director
tt0071219,A Bigger Splash
tt0071253,Bruce Lee's Deadly Kung Fu
tt0071411,Dersu Uzala
tt0071438,The Dove
tt0071454,"Eadweard Muybridge, Zoopraxographer"
tt0071545,Georgiy Sedov
tt0071559,Gniazdo
tt0071579,The Great McGonagall
tt0071600,The High Solitudes
tt0071691,The Enigma of Kaspar Hauser
tt0071713,Karl May
tt0071746,Lenny
tt0071782,Lucky Luciano
tt0071783,Young Lucrezia
tt0071797,Mahler
tt0071880,The Last 4 Days
tt0071995,Piaf: The Early Years
tt0072068,Little Raoul
tt0072151,Prince Ehtejab
tt0072204,Stavisky
tt0072205,Stephen the Great - Vaslui 1475
tt0072371,Les violons du bal
tt0072382,Vybor tseli
tt0072416,Wolz - Life and Illusion of a German Anarchist
tt0072443,Mirror
tt0072745,Bruce Lee and I
tt0072761,Capone
tt0072890,Dog Day Afternoon
tt0072893,Doktor Mladen
tt0072896,Don Milani
tt0072916,Duma o Kovpake: Buran
tt0073026,Funny Lady
tt0073029,Galileo
tt0073039,The Gentleman Tramp
tt0073053,"Give 'em Hell, Harry!"
tt0073091,The Happy Hooker
tt0073109,The Hiding Place
tt0073114,The Story of Adele H
tt0073193,Janis
tt0073208,A Woman Called Sada Abe
tt0073230,Kazimierz Wielki
tt0073279,Lepke
tt0073298,Lisztomania
tt0073302,Murph the Surf
tt0073326,Marco Polo
tt0073496,The Other Side of the Mountain
tt0073849,Trip Around My Cranium
tt0073873,Vozdukhoplavatel
tt0073880,Walking Tall Part II
tt0073911,Winstanley
tt0074194,Beethoven-Days in a Life
tt0074235,Bound for Glory
tt0074291,Fellini's Casanova
tt0074398,The Disenchantment
tt0074439,The American Dream
tt0074446,"Duma o Kovpake: Karpaty, Karpaty..."
tt0074562,Gable and Lombard
tt0074581,"Goodbye, Norma Jean"
tt0074639,The Man Who Knew Love
tt0074678,The Incredible Sarah
tt0074712,Jaroslaw Dabrowski
tt0074781,Leadbelly
tt0074896,The Message
tt0075143,The Message
tt0075304,Tak nachinalas legenda
tt0075409,W.C. Fields and Me
tt0075652,Beyond Good and Evil
tt0075688,Antonio Gramsci: The Days of Prison
tt0075707,Aurel Vlaicu
tt0075708,Death Is My Trade
tt0075786,Brigham
tt0075787,Brothers
tt0076106,Greased Lightning
tt0076111,The Greatest
tt0076115,La güera Rodríguez
tt0076133,Heinrich
tt0076147,Hitler: A Film from Germany
tt0076165,The Frenchman's Garden
tt0076166,Hughes and Harlow: Angels in Hell
tt0076212,"Stand Up Straight, Delfina"
tt0076325,A Look at Liv
tt0076342,MacArthur
tt0076344,Mackan
tt0076390,My Daughter Hildegart
tt0076517,Padre Padrone
tt0076567,The Private Files of J. Edgar Hoover
tt0076864,Utamaro's World
tt0076868,Valentino
tt0076890,Viva Knievel!
tt0076918,Who Are the DeBolts? and Where Did They Get Nineteen Kids?
tt0077122,"Addio, piccola mia"
tt0077261,Born Again
tt0077280,The Buddy Holly Story
tt0077283,The Mace with Three Seals
tt0077318,The Chant of Jimmie Blacksmith
tt0077600,"... gdziekolwiek jestes, panie prezydencie..."
tt0077722,A Ilha dos Amores
tt0077838,The Last Waltz
tt0077850,"Bruce Lee: The Man, the Myth"
tt0077925,The Messiah
tt0077928,Midnight Express
tt0077941,Molière
tt0077964,My Way Home
tt0078044,The Other Side of the Mountain: Part II
tt0078084,The Adventures of Picasso
tt0078186,Runoilija ja muusa
tt0078321,Stevie
tt0078843,The Bell Jar
tt0078850,Best Boy
tt0078865,Birth of the Beatles
tt0078892,"Bolívar, a Tropical Symphony"
tt0078897,Bosko Buha
tt0078974,Cinematógrafo 1900
tt0078987,"Companys, procés a Catalunya"
tt0079029,Dawn!
tt0079116,Escape from Alcatraz
tt0079277,He Never Gives Up
tt0079368,The Jesus Film
tt0079542,Meetings with Remarkable Men
tt0079596,My Brilliant Career
tt0079730,Poema o krylyakh
tt0079878,Sekret Enigmy
tt0079920,The Brontë Sisters
tt0079985,The Secret Life of Nikola Tesla
tt0080031,Tom Horn
tt0080381,Aria dla atlety
tt0080480,Burebista
tt0080492,Can't Stop the Music
tt0080518,Charlotte
tt0080549,Coal Miner's Daughter
tt0080563,The Other One
tt0080594,The Day After Trinity
tt0080678,The Elephant Man
tt0080686,Slow Attack
tt0080906,Hungerjahre - in einem reichen Land
tt0080907,The Hunter
tt0080913,The Idolmaker
tt0080966,Joni
tt0081014,Krakh operatsii Terror
tt0081059,The Lion of the Desert
tt0081071,The Long Riders
tt0081109,The Man Who Saw Tomorrow
tt0081235,Nijinsky
tt0081398,Raging Bull
tt0081430,Amin: The Rise and Fall
tt0081435,Romaneto
tt0081748,Where the Buffalo Roam
tt0081766,The Wizard of Speed and Time
tt0081991,Rasputin
tt0082091,Boldyn
tt0082156,Chanel Solitaire
tt0082158,Chariots of Fire
tt0082168,O Chico Fininho
tt0082176,Christiane F.
tt0082225,Céleste
tt0082311,Egon Schiele: Excess and Punishment
tt0082356,Banovic Strahinja
tt0082408,Francisca
tt0082434,Gangster Wars
tt0082578,The Wanderings of Jan Amos
tt0082702,Malou
tt0082751,Milosc ci wszystko wybaczy
tt0082766,Mommie Dearest
tt0082940,Priest of Love
tt0082979,Reds
tt0083193,This Is Elvis
tt0083237,Flame Top
tt0083267,Outlaw: The Saga of Gisli
tt0083283,Victor Seastrom
tt0083327,Wie de Waarheid Zegt Moet Dood
tt0083342,Wrong Side of the Road
tt0083356,From a Far Country
tt0083517,Abuse
tt0083567,Antonieta
tt0083633,Before the Nickelodeon: The Early Cinema of Edwin S. Porter
tt0083637,Boy Meets Girl
tt0083710,Caligula and Messalina
tt0083789,Danton
tt0083872,Another Way
tt0083967,Frances
tt0083987,Gandhi
tt0084044,Hajji Washington
tt0084051,Fiona
tt0084111,I'm Dancing as Fast as I Can
tt0084117,If You Could See What I Hear
tt0084136,The Flight of the Eagle
tt0084311,Mat Mariya
tt0084313,Matter of Heart
tt0084335,Missing
tt0084388,Diary for My Children
tt0084589,The Return of Martin Guerre
tt0084631,Satyajit Ray
tt0084720,Squizzy Taylor
tt0084870,Memories and Confessions
tt0084893,We of the Never Never
tt0084897,The White Rose
tt0085138,Adi Shankaracharya
tt0085175,The Man with the Carnation
tt0085190,For Those I Loved
tt0085218,Barefoot Gen
tt0085320,Champions
tt0085370,Entre Nous
tt0085380,Cross Creek
tt0085421,Demidovy
tt0085445,Bozská Ema
tt0085477,Edith and Marcel
tt0085568,Spring Symphony
tt0085622,The Grey Fox
tt0085656,Heart Like a Wheel
tt0085685,The Man in the Silk Hat
tt0085689,Savage Attraction
tt0085748,"Jára Cimrman Lying, Sleeping"
tt0085835,Pharos of Chaos
tt0085905,Marlene
tt0085958,Montgomery Clift
tt0086102,Phar Lap
tt0086197,The Right Stuff
tt0086220,Running Brave
tt0086278,Semyon Dezhnev
tt0086312,Silkwood
tt0086355,Star 80
tt0086372,The Story of Piera
tt0086387,Summerspell
tt0086495,U bent mijn moeder
tt0086879,Amadeus
tt0086904,Another Country
tt0086945,The Bear
tt0087039,Cento giorni a Palermo
tt0087064,Claretta Petacci
tt0087171,Down on Us
tt0087231,The Falcon and the Snowman
tt0087297,Frida
tt0087322,George Stevens: A Filmmaker's Journey
tt0087441,Hälfte des Lebens
tt0087530,Kamalolmolk
tt0087542,Katastrofa w Gibraltarze
tt0087553,The Killing Fields
tt0087615,Lev Tolstoy
tt0087676,A Man Like Eva
tt0087712,Mesrine
tt0087813,Noi tre
tt0087952,Przeznaczenie
tt0087961,Qiu Jin
tt0088073,The Secret Diary of Sigmund Freud
tt0088074,Secret Honor
tt0088275,The Times of Harvey Milk
tt0088371,A vörös grófnö
tt0088658,A.K.
tt0088740,Artie Shaw: Time Is All You've Got
tt0088812,Het bittere kruid
tt0088980,Da Capo
tt0088987,Dance with a Stranger
tt0088989,Dario Argento's World of Horror
tt0089052,Dreamchild
tt0089310,Huey Long
tt0089410,"Kerouac, the Movie"
tt0089420,King David
tt0089555,Marie
tt0089560,Mask
tt0089585,Meteor & Shadow
tt0089603,Mishima: A Life in Four Chapters
tt0089647,My American Cousin
tt0089716,Colonel Redl
tt0089755,Out of Africa
tt0089933,Romanza final (Gayarre)
tt0089958,Samuel Lount
tt0090110,Sweet Dreams
tt0090113,Sylvia
tt0090185,"A Time to Live, a Time to Die"
tt0090312,What Happened to Kerouac?
tt0090326,Wills & Burke
tt0090354,"Yo, 'El Vaquilla'"
tt0090365,Zastihla me noc
tt0090372,Zina
tt0090570,84 Charing Cross Road
tt0090572,A futura memoria: Pier Paolo Pasolini
tt0090637,Amorosa
tt0090769,The Boy in Blue
tt0090798,Caravaggio
tt0090806,Caspar David Friedrich - Grenzen der Zeit
tt0090826,Chicherin
tt0091126,God's Outlaw
tt0091295,"Jo Jo Dancer, Your Life Is Calling"
tt0091367,Käthe Kollwitz
tt0091374,Lady Jane
tt0091399,Lermontov
tt0091533,Moa
tt0091558,Mother Teresa
tt0091712,Oviri
tt0091783,Poslednyaya doroga
tt0091869,Rosa Luxemburg
tt0091943,Sherman's March
tt0091954,Sid and Nancy
tt0092553,The Loves of Kafka
tt0092675,Bloodsport
tt0092732,Castaway
tt0092758,Chuck Berry: Hail! Hail! Rock 'n' Roll
tt0092804,Cry Freedom
tt0092814,Love Sins
tt0093054,Le frère André
tt0093105,"Good Morning, Vietnam"
tt0093125,Gui hua xiang
tt0093183,The Hero's Journey: The World of Joseph Campbell
tt0093194,Hip Hip Hurrah!
tt0093295,Jane B. for Agnes V.
tt0093317,John and the Missus
tt0093338,The Kid Brother
tt0093378,La Bamba
tt0093389,The Last Emperor
tt0093458,El Lute: Run for Your Life
tt0093571,Farewell Moscow
tt0093599,Diary for My Lovers
tt0093776,Prick Up Your Ears
tt0094027,Stand and Deliver
tt0094269,Vincent
tt0094711,Baptême
tt0094747,Bird
tt0094828,Camille Claudel
tt0094924,A Cry in the Dark
tt0095051,Don Bosco
tt0095127,Fallada: The Last Chapter
tt0095148,Purgatory
tt0095243,Gorillas in the Mist
tt0095275,Hanna's War
tt0095280,Haunted Summer
tt0095301,High Fidelity
tt0095341,Hôtel Terminus
tt0095360,Imagine: John Lennon
tt0095408,"John Huston: The Man, the Movies, the Maverick"
tt0095433,The Summer of Aviya
tt0095515,Let's Get Lost
tt0095559,El Lute II: Tomorrow I'll Be Free
tt0095601,Matar al Nani
tt0095619,Mensagem
tt0095677,Murder One
tt0095836,Patty Hearst
tt0095856,Pestalozzis Berg
tt0095948,I ragazzi di via Panisperna
tt0096029,Salome's Last Dance
tt0096209,Turning Table
tt0096250,Testimony
tt0096309,Three Seats for the 26th
tt0096316,Tucker: The Man and His Dream
tt0096409,Walker
tt0096411,Waller's Last Trip
tt0096488,Young Toscanini
tt0096520,Århus by night
tt0096740,300 Miles to Heaven
tt0096815,And the Violins Stopped Playing
tt0096857,L'Autrichienne
tt0096862,Evenings
tt0096943,Blaze
tt0096969,Born on the Fourth of July
tt0097070,Clovek proti zkáze
tt0097099,Common Threads: Stories from the Quilt
tt0097100,Communion
tt0097336,Fat Man and Little Boy
tt0097382,Helmut Newton: Frames from the Edge
tt0097383,Francesco
tt0097422,Gesucht: Monika Ertl
tt0097441,Glory
tt0097449,"Goodnight, Sweet Marilyn"
tt0097457,Great Balls of Fire!
tt0097499,Henry V
tt0097515,"Hiver 54, l'abbé Pierre"
tt0097572,"In meinem Herzen, Schatz..."
tt0097634,Justice Denied
tt0097683,Kramarz
tt0097818,Malarek
tt0097937,My Left Foot
tt0097999,Nocny gosc
tt0098036,Oszolomienie
tt0098052,Paganini
tt0098204,Rikyû
tt0098215,Rok i fortuna
tt0098219,Romero
tt0098232,Ruf
tt0098391,Stradivari
tt0098465,"Thelonious Monk: Straight, No Chaser"
tt0098513,Triumph of the Spirit
tt0098651,Prisoner of Rio
tt0098660,Wired
tt0098989,Life Is Like a Cucumber
tt0099015,Alle Juden raus!
tt0099040,An Angel at My Table
tt0099077,Awakenings
tt0099127,Bethune: The Making of a Hero
tt0099241,Charuga
tt0099242,Chattahoochee
tt0099265,Kawashima Yoshiko
tt0099266,My Mother's Castle
tt0099446,Dr. Petiot
tt0099584,Of Flesh and Blood
tt0099669,My Father's Glory
tt0099673,"Good Evening, Mr. Wallenberg"
tt0099685,Goodfellas
tt0099762,Henry & June
tt0099763,Henry: Portrait of a Serial Killer
tt0099874,"Jean Galmot, aventurier"
tt0099949,Korczak
tt0099951,The Krays
tt0099965,Lacenaire
tt0100145,Michelangelo: A Self Portrait
tt0100223,Diary for My Father and Mother
tt0100234,Close-Up
tt0100402,Prazakum tem je hej
tt0100486,Reversal of Fortune
tt0100546,Sandino
tt0100558,Schweitzer
tt0100619,Silent Scream
tt0100654,Solo de Violino
tt0100682,La stanza delle parole
tt0100873,Vincent & Theo
tt0100878,Cellini: A Violent Life
tt0100891,Vrag naroda - Bukharin
tt0100990,"I, the Worst of All"
tt0101316,The Lover
tt0101370,Arthur Rimbaud - Une biographie
tt0101416,Becoming Colette
tt0101460,Bix
tt0101490,To Be Number One
tt0101516,Bugsy
tt0101529,Cabeza de Vaca
tt0101578,China Cry: A True Story
tt0101650,Dalí
tt0101761,The Doors
tt0101996,Hammers Over the Anvil
tt0102091,And the Wind Returneth
tt0102103,Impromptu
tt0102130,Isabelle Eberhardt
tt0102134,Ítéletlenül
tt0102141,Jacquot de Nantes
tt0102252,De laatste sessie
tt0102419,Max Ernst: Mein Vagabundieren - Meine Unruhe
tt0102444,Milena
tt0102523,Nelligan
tt0102610,Otkroveniye Ioanna Pervopechatnika
tt0102674,The Pistol: The Birth of a Legend
tt0102707,Preminger: Anatomy of a Filmmaker
tt0102739,Long Live the Hobos
tt0102816,Center Stage
tt0102998,Strip Jack Naked: Nighthawks II
tt0103008,Superstar: The Life and Times of Andy Warhol
tt0103110,Tous les matins du monde
tt0103190,Van Gogh
tt0103340,Life for Life: Maximilian Kolbe
tt0103594,1492: Conquest of Paradise
tt0103669,American Fabulous
tt0103671,American Me
tt0103747,The Babe
tt0103838,The Inner Circle
tt0103882,A Brief History of Time
tt0103938,Changing Our Minds: The Story of Dr. Evelyn Hooker
tt0103939,Chaplin
tt0103962,Christopher Columbus: The Discovery
tt0104018,Cousin Bobby
tt0104045,Daddy and the Muscle Academy
tt0104046,Daens
tt0104099,O Dia do Desespero
tt0104303,Frida Kahlo: A Ribbon Around a Bomb
tt0104350,The Best Intentions
tt0104427,Hoffa
tt0104461,Hugh Hefner: Once Upon a Time
tt0104475,I Am My Own Woman
tt0104753,The Long Day Closes
tt0104756,Lorenzo's Oil
tt0104775,Lumumba: Death of a Prophet
tt0104797,Malcolm X
tt0104810,Manufacturing Consent: Noam Chomsky and the Media
tt0104918,Death of a Neapolitan Mathematician
tt0104945,Branford Marsalis: The Music Tells You
tt0104946,Music for the Movies: Bernard Herrmann
tt0104978,Need vanad armastuskirjad
tt0105026,November Days
tt0105032,Savage Nights
tt0105268,Rock Hudson's Home Movies
tt0105291,Ruby
tt0105358,Tsenzuru k pamyati ne dopuskayu
tt0105438,Dream of Light
tt0105511,Sunday's Children
tt0105570,Texas Tenor: the Illinois Jacquet Story
tt0105596,Time Will Tell
tt0105618,The Last Bolshevik
tt0105839,Once Upon a Time in China II
tt0105841,"Wszystko, co najwazniejsze..."
tt0105895,Zhou Enlai
tt0106246,Alive
tt0106290,Anna ot 6 do 18
tt0106339,Backbeat
tt0106383,Belle van Zuylen - Madame de Charrière
tt0106438,Blue
tt0106457,The Strange Tale of Oyuki
tt0106485,The Broadcast Tapes of Dr. Peter
tt0106560,Chopin - Bilder einer Trennung
tt0106637,The Curse of the Dragon
tt0106745,Domenica
tt0106770,Dragon: The Bruce Lee Story
tt0106774,Dreamrider
tt0106810,En compagnie d'Antonin Artaud
tt0106912,Fire in the Sky
tt0106989,"Gatica, the Monkey"
tt0107096,Heaven & Earth
tt0107130,A Home of Our Own
tt0107157,The Puppetmaster
tt0107158,A Soul Haunted by Painting
tt0107187,"Ich will nicht nur, daß ihr mich liebt - Der Filmemacher Rainer Werner Fassbinder"
tt0107207,In the Name of the Father
tt0107243,Jack L. Warner: The Last Mogul
tt0107259,Joan the Maid 1: The Battles
tt0107260,Joan the Maid 2: The Prisons
tt0107323,Kino
tt0107339,Kontesa Dora
tt0107419,Lillian
tt0107446,"Louis, enfant roi"
tt0107457,Ludwig 1881
tt0107472,"The Wonderful, Horrible Life of Leni Riefenstahl"
tt0107533,The Blue Exile
tt0107756,Orlando
tt0107893,The Case of Bronek Pekosinski
tt0108002,Rudy
tt0108028,Sakay
tt0108052,Schindler's List
tt0108065,Searching for Bobby Fischer
tt0108085,Serye volki
tt0108101,Shadowlands
tt0108206,Split: William to Crysis: Portrait of a Drag Queen
tt0108291,Wild Tango
tt0108323,Theremin: An Electronic Odyssey
tt0108328,Thirty Two Short Films About Glenn Gould
tt0108330,This Boy's Life
tt0108341,Time Indefinite
tt0108358,Tombstone
tt0108362,Toki rakujitsu
tt0108396,Trotskiy
tt0108501,Viva Castro!
tt0108551,What's Love Got to Do with It
tt0108583,Wittgenstein
tt0108592,Once Upon a Time in China III
tt0108644,Zai na yao yuan de di fang
tt0108660,Zohar
tt0109021,8 Seconds
tt0109177,Aya: Imagined Autobiography
tt0109206,Bandit Queen
tt0109333,Bread & Roses
tt0109381,Carmen Miranda: Bananas Is My Business
tt0109382,Dear Diary
tt0109385,Houses of Fire
tt0109450,Cobb
tt0109457,Colorado Cowboy: The Bruce Ford Story
tt0109462,Coming Out Under Fire
tt0109474,The Jodorowsky Constellation
tt0109508,Crumb
tt0109601,Les derniers jours d'Emmanuel Kant
tt0109621,Dichiarazioni d'amore
tt0109707,Ed Wood
tt0109740,"Ernesto Che Guevara, the Bolivian Diary"
tt0109771,Farinelli
tt0109835,Frank & Jesse
tt0110005,Heavenly Creatures
tt0110047,Home Suite
tt0110115,Imaginary Crimes
tt0110116,Immortal Beloved
tt0110217,Jupiter's Wife
tt0110298,Lamarca
tt0110428,The Madness of King George
tt0110474,Mary: The Mary MacKillop Story
tt0110480,Maya Lin: A Strong Clear Vision
tt0110496,Mesmer
tt0110520,"Carl, My Childhood Symphony"
tt0110560,Montand
tt0110588,Mrs. Parker and the Vicious Circle
tt0110670,Niki de Saint Phalle
tt0110689,Nostradamus
tt0110877,The Postman
tt0110932,Quiz Show
tt0110963,Queen Margot
tt0111007,Rock 'n' Roll Junkie
tt0111271,Squanto: A Warrior's Tale
tt0111366,Tarzan of Manisa
tt0111454,Tom & Viv
tt0111469,Tracking Down Maggie: The Unofficial Biography of Margaret Thatcher
tt0111505,Trying to Kiss the Moon
tt0111538,Ulrike Marie Meinhof
tt0111622,The Sex Life of the Belgians
tt0111756,Wyatt Earp
tt0111848,Zorn
tt0112315,"Aletta Jacobs, het hoogste streven"
tt0112316,Alfred
tt0112373,Anne Frank Remembered
tt0112393,Art for Teachers of Children
tt0112461,The Basketball Diaries
tt0112474,Beim nächsten Kuß knall ich ihn nieder
tt0112476,Belmonte
tt0112573,Braveheart
tt0112631,Carl Th. Dreyer: My Métier
tt0112637,Carrington
tt0112792,Dangerous Minds
tt0112862,The Diary of Anne Frank
tt0112962,L'enfant noir
tt0112964,"England, My England"
tt0113125,From the Journals of Jean Seberg
tt0113137,Für mich soll's rote Rosen regnen
tt0113151,Die Gebrüder Skladanowsky
tt0113254,Hank Aaron: Chasing the Dream
tt0113270,The Haunted World of Edward D. Wood Jr.
tt0113463,Jefferson in Paris
tt0113542,Killer: A Journal of Murder
tt0113581,Kun en pige
tt0113685,Lola Mora
tt0113763,Maniya Zhizeli
tt0113961,Neurosia: Fifty Years of Perversion
tt0113973,Nico Icon
tt0113987,Nixon
tt0113991,No One Could Protect Her
tt0114272,Restoration
tt0114287,Rob Roy
tt0114413,Sharaku
tt0114461,The Seventh Room
tt0114644,Teddy Kollek
tt0114646,Tender Fictions
tt0114702,Total Eclipse
tt0114914,When Billy Broke His Head... and Other Tales of Wonder
tt0114938,Wild Bill
tt0114939,Wild Bill: Hollywood Maverick
tt0115632,Basquiat
tt0115766,The Bruce
tt0115849,Cavafy
tt0116212,Entertaining Angels: The Dorothy Day Story
tt0116238,Eva Peron: The True Story
tt0116250,Evita
tt0116330,My Forgotten Man
tt0116357,"Frantz Fanon: Black Skin, White Mask"
tt0116480,Hamsun
tt0116593,I Shall Not Be Removed: The Life of Marlon Riggs
tt0116594,I Shot Andy Warhol
tt0116595,I Was a Jewish Sex Worker
tt0116621,In Love and War
tt0116635,Infinity
tt0116711,John Henrik Clarke: A Great and Mighty Walk
tt0116749,Kathapurushan
tt0116759,The Cherry Pick
tt0116886,The Line King: The Al Hirschfeld Story
tt0116980,Mandela
tt0116987,Marco Polo: The Missing Chapter
tt0117039,Michael Collins
tt0117058,"Mirror, Mirror"
tt0117106,Death in Granada
tt0117192,No Sex Last Night
tt0117196,Nobody's Business
tt0117310,Paul Monette: The Brink of Summer's End
tt0117318,The People vs. Larry Flynt
tt0117418,Who Killed Pixote?
tt0117631,Shine
tt0117669,Small Wonders
tt0117733,Stardust Stricken - Mohsen Makhmalbaf: A Portrait
tt0117791,Surviving Picasso
tt0117810,Poznan 56
tt0117830,The Cinderella of Tallinn
tt0117868,Tears of Stone
