tconst,primaryTitle
tt0031458,El huésped del sevillano
tt0035423,Kate & Leopold
tt0058950,"Auliban, the Seller of Rings"
tt0060967,Una señora estupenda
tt0062359,They Call Me Shmil
tt0062784,El certificado
tt0063309,Misión cumplida
tt0063334,Nahtche and the General
tt0063666,"Love, Emilia"
tt0063751,The Howl
tt0063846,"Zorro, Rider of Vengeance"
tt0063982,El abominable hombre de la Costa del Sol
tt0064004,All the Right Noises
tt0064007,El alma se serena
tt0064083,Der Bettenstudent oder Was mach' ich mit den Mädchen?
tt0064111,Bronco Bullfrog
tt0064140,Cateto a babor
tt0064183,Con ella llegó el amor
tt0064191,El cronicón
tt0064204,Cómo casarse en 7 días
tt0064270,Dele color al difunto
tt0064279,A Crazy Night
tt0064283,An Elephant Called Slowly
tt0064359,The Gamblers
tt0064372,Black Jack
tt0064385,"Shine, Shine, My Star"
tt0064423,Happy He Who Like Ulysses
tt0064432,How to Play the Seduction Game
tt0064450,How to Succeed with Sex
tt0064549,"Komm nach Wien, ich zeig dir was!"
tt0064554,King of the Reindeer
tt0064592,Lisa dagli occhi blu
tt0064598,London Affair
tt0064659,El mesón del gitano
tt0064704,Girly
tt0064711,Männer sind zum Lieben da
tt0064712,The Moderate Doctor
tt0064751,Odvázná slecna
tt0064779,The Bear and the Doll
tt0064788,Paraíso
tt0064804,Le petit bougnat
tt0064806,The Phantom Tollbooth
tt0064820,The Plot Against Harry
tt0064822,El pocho
tt0064864,El quelite
tt0065012,"Some Will, Some Won't"
tt0065065,A Talent for Loving
tt0065139,Történelmi magánügyek
tt0065147,"Un, dos, tres... al escondite inglés"
tt0065174,Verano 70
tt0065192,The Voyeur
tt0065213,Wilbur and the Baby Factory
tt0065235,"I Killed Einstein, Gentlemen"
tt0065254,¿Por qué pecamos a los cuarenta?
tt0065256,¿Quién soy yo?
tt0065259,El águila descalza
tt0065265,The Stud
tt0065331,"You Are a Widow, Sir!"
tt0065375,The Adventures of Gerard
tt0065376,Mr. Gullible
tt0065380,Alex in Wonderland
tt0065384,All the Way Up
tt0065395,Amore formula 2
tt0065406,Million Dollar Eel
tt0065421,The Aristocats
tt0065425,Sabata the Killer
tt0065430,A Very Crazy Asylum
tt0065432,El astronauta
tt0065436,Even Dwarfs Started Small
tt0065446,The Ballad of Cable Hogue
tt0065458,The Amorous Adventures of a Young Postman
tt0065466,Beyond the Valley of the Dolls
tt0065482,The Boatniks
tt0065492,Brewster McCloud
tt0065500,El bueno para nada
tt0065503,The Scandalous Adventures of Buraikan
tt0065511,C.C. & Company
tt0065514,Cactus in the Snow
tt0065521,Give Her the Moon
tt0065524,Carry on Loving
tt0065525,Carry on Up the Jungle
tt0065526,La casa de los Martínez
tt0065527,A Pocketful of Chestnuts
tt0065528,Catch-22
tt0065529,Cerca di capirmi
tt0065554,Le cinéma de papa
tt0065560,The Cockeyed Cowboys of Calico County
tt0065567,Con la música a otra parte
tt0065568,The Weekend Murders
tt0065573,Let's Have a Riot
tt0065575,"Cool It, Carol!"
tt0065577,Le coppie
tt0065578,Coqueluche
tt0065579,Cotton Comes to Harlem
tt0065586,Secret Life of a Schoolgirl Wife
tt0065588,Cleopatra
tt0065589,Cry of the Cormoran
tt0065590,An Imperfect Crime
tt0065591,Crimes of the Future
tt0065599,Csak egy telefon
tt0065600,"Four Murders Are Enough, Darling"
tt0065607,Devilish Honeymoon
tt0065611,Darling Lili
tt0065613,Das haut den stärksten Zwilling um
tt0065614,That Can't Shake Our Willi!
tt0065616,A Day at the Beach
tt0065617,"De profesión, sus labores"
tt0065621,The Conjugal Debt
tt0065622,The Decameron
tt0065623,La decente
tt0065628,Después de los nueve meses
tt0065632,Deux femmes en or
tt0065633,El diablo Cojuelo
tt0065636,Diary of a Mad Housewife
