tconst,primaryTitle
tt0058994,Bruce's Fingers
tt0060951,A Scream in the Streets
tt0062730,The Big Snatch
tt0063066,Hibotan bakuto: Oryû sanjô
tt0063353,Nihon jokyo-den: tekka geisha
tt0063604,Shiruku hatto no ô-oyabun
tt0064065,La banda de los tres crisantemos
tt0064126,French Intrigue
tt0064171,The Bullet Machine
tt0064190,Cristo 70
tt0064225,Last Known Address
tt0064294,Horse
tt0064321,The Female Bunch
tt0064437,The Honeymoon Killers
tt0064704,Girly
tt0064787,A Quiet Place to Kill
tt0064791,Rider on the Rain
tt0064796,Only the Cool
tt0064820,The Plot Against Harry
tt0064821,On the Trail of Blood
tt0064863,Quelé do Pajeú
tt0064905,Red Sun
tt0064949,Scream and Scream Again
tt0065053,Svoy
tt0065080,The Heist
tt0065189,Von Haut zu Haut
tt0065222,Women and Bloody Terror
tt0065259,El águila descalza
tt0065396,Reconstruction
tt0065406,Million Dollar Eel
tt0065460,The Beast
tt0065481,Bloody Mama
tt0065486,Borsalino
tt0065501,A Bullet for Pretty Boy
tt0065506,Popsy Pop
tt0065531,Le Cercle Rouge
tt0065535,Champagne Rose är död
tt0065543,Chi-zome no daimon
tt0065555,Violent City
tt0065565,Countdown to Vengeance
tt0065567,Con la música a otra parte
tt0065568,The Weekend Murders
tt0065579,Cotton Comes to Harlem
tt0065600,"Four Murders Are Enough, Darling"
tt0065607,Devilish Honeymoon
tt0065626,Play It Cool
tt0065630,El tunco Maclovio
tt0065670,Twelve Chairs
tt0065681,Black Lemons
tt0065686,"Elle boit pas, elle fume pas, elle drague pas, mais... elle cause!"
tt0065698,Angels with Burnt Wings
tt0065700,Entertaining Mr Sloane
tt0065722,The Firechasers
tt0065735,Devil's Ransom
tt0065737,Fragment of Fear
tt0065742,Fray Dólar
tt0065769,Le gendarme en balade
tt0065790,Goodbye Gemini
tt0065806,A gyilkos a házban van
tt0065808,Gods of the Plague
tt0065813,Melody of Rebellion
tt0065826,Hell's Bloody Devils
tt0065835,Gentlemen in White Vests
tt0065889,Investigation of a Citizen Above Suspicion
tt0065898,Investigación criminal
tt0065932,Blind Woman's Curse
tt0065949,The Theft
tt0065950,The Kremlin Letter
tt0065970,The Lawyer
tt0065973,Summer Love
tt0065979,The Liberation of L.B. Jones
tt0065992,Sartana Kills Them All
tt0065999,The Hammer of God
tt0066002,Loot
tt0066032,Machismo: 40 Graves for 40 Guns
tt0066037,Den magiska cirkeln
tt0066056,The Man from O.R.G.Y.
tt0066096,The Moonshine War
tt0066098,Death Occurred Last Night
tt0066120,Na kolejích ceká vrah
tt0066130,Ned Kelly
tt0066141,The Night Visitor
tt0066145,Night of the Witches
tt0066148,Brave Red Flower of the North
tt0066208,Burglar and Umbrella
tt0066212,Perfect Friday
tt0066214,Performance
tt0066249,The Private Life of Sherlock Holmes
tt0066258,Puppet on a Chain
tt0066286,The Rebel Rousers
tt0066337,Defeat of the Mafia
tt0066371,Step on the Gas
tt0066375,Shôwa zankyô-den: Shinde moraimasu
tt0066385,Skulle det dukke opp flere lik er det bare å ringe.....
tt0066392,Something for Everyone
