tconst,primaryTitle
tt0038687,Let There Be Light
tt0063550,Satanis: The Devil's Mass
tt0064076,Before the Mountain Was Moved
tt0064772,The Sensual Male
tt0064967,Sex-Business - Made in Pasing
tt0065227,Sex Freedom in Germany
tt0065392,Bucharest Memories
tt0065411,Water Like a Black Buffalo
tt0065414,Appunti per un romanzo sull'immondezza
tt0065453,"Cuba: Battle of the 10,000,000"
tt0065497,Bruno the Black - One Day a Hunter Blew His Horn
tt0065687,Elvis: That's the Way It Is
tt0065702,Chariots of the Gods
tt0065753,Fußball wie noch nie
tt0065754,Fútbol México 70
tt0065780,Gimme Shelter
tt0065841,Hollywood Blue
tt0065906,Jack Johnson
tt0065933,"Kamrater, motståndaren är välorganiserad"
tt0065976,Let It Be
tt0066071,More About the Language of Love
tt0066123,Nach meinem letzten Umzug...
tt0066136,"It Is Not the Homosexual Who Is Perverse, But the Society in Which He Lives"
tt0066153,History of Postwar Japan as Told by a Bar Hostess
tt0066157,No Substitute for Victory
tt0066163,Notes Towards an African Orestes
tt0066215,Fuck Off! Images of Finland
tt0066238,Pravda
tt0066300,Right on!
tt0066400,"Sport, sport, sport"
tt0066416,Street Scenes
tt0066503,"Wake Up, Mes Bons Amis!"
tt0066517,"Cuadecuc, vampir"
tt0066526,Vilarinho das Furnas
tt0066559,What Do You Say to a Naked Lady?
tt0066580,Woodstock
tt0066581,The World at Their Feet
tt0066583,Wow
tt0066749,Africa Uncensored
tt0066753,Alaska Wilderness Lake
tt0066812,Basic Training
tt0066860,Brazil: A Report on Torture
tt0066901,Songs for After a War
tt0066997,Directed by John Ford
tt0067036,Et døgn med Ilse
tt0067085,Fata Morgana
tt0067197,The Hellstrom Chronicle
tt0067198,Sanrizuka: Heta buraku
tt0067275,Joe Cocker: Mad Dogs & Englishmen
tt0067320,Kärlekens XYZ
tt0067324,Land of Silence and Darkness
tt0067414,Medicine Ball Caravan
tt0067431,Millhouse
tt0067456,The Murder of Fred Hampton
tt0067460,My Kingdom for...
tt0067514,The Voyage of Tanai
tt0067527,On Any Sunday
tt0067532,1 P.M.
tt0067648,Raga
tt0067660,"Red, White and Blue"
tt0067709,Saturday Morning
tt0067730,Sekigun-P.F.L.P: Sekai sensô sengen
tt0067740,Shablul
tt0067852,Three Lives
tt0067960,Walls of Fire
tt0068178,Weekend of a Champion
tt0068201,American Wilderness
tt0068223,Arruza
tt0068275,Ape and Super-Ape
tt0068283,Black Rodeo
tt0068307,Born to Boogie
tt0068375,Chung Kuo - Cina
tt0068389,The Rolling Stones: Cocksucker Blues
tt0068493,12 dicembre
tt0068537,Elvis on Tour
tt0068549,Essene
tt0068562,FTA
