tconst,primaryTitle
tt0015724,Dama de noche
tt0036606,"Another Time, Another Place"
tt0039442,"Habla, mudita"
tt0044952,Nagarik
tt0057461,La rosa de los vientos
tt0058994,Bruce's Fingers
tt0059325,Born in '45
tt0059900,"Wenn du groß bist, lieber Adam"
tt0060462,The Girls from Thunder Strip
tt0060477,Gregorio and His Angel
tt0060939,Santo vs. the Head Hunters
tt0061478,Chun huo
tt0062181,Rece do góry
tt0062690,Awakening of the Beast
tt0062701,Balsamus l'uomo di Satana
tt0062730,The Big Snatch
tt0062847,"Daddy, Darling"
tt0062936,Enter the Game of Death
tt0062980,Fleshpot on 42nd Street
tt0063018,Iron Dragon Strikes Back
tt0063070,Story of a Girl Alone
tt0063074,Hola... señor Dios
tt0063309,Misión cumplida
tt0063337,"One Day, the Nile"
tt0063499,Ramparts of Clay
tt0063696,Tiger by the Tail
tt0063860,The Last Day of the War
tt0064004,All the Right Noises
tt0064076,Before the Mountain Was Moved
tt0064078,Les belles au bois dormantes
tt0064105,The Ancines Woods
tt0064106,Le Boucher
tt0064111,Bronco Bullfrog
tt0064121,Comrades
tt0064126,French Intrigue
tt0064144,The Circle
tt0064165,The Things of Life
tt0064170,Her and She and Him
tt0064171,The Bullet Machine
tt0064182,Rimal min dhahab
tt0064197,Cuori solitari
tt0064221,Den i vsya zhizn
tt0064225,Last Known Address
tt0064261,Dreams of Glass
tt0064321,The Female Bunch
tt0064341,Fortunata and Jacinta
tt0064359,The Gamblers
tt0064362,The Cats Are Cold
tt0064377,Golpe de mano (Explosión)
tt0064385,"Shine, Shine, My Star"
tt0064386,The Fifth Day of Peace
tt0064388,El gran crucero
tt0064420,The Inheritors
tt0064437,The Honeymoon Killers
tt0064451,A Touch of Zen
tt0064465,Ice
tt0064491,Winter in Mallorca
tt0064494,Eugenie
tt0064510,Jenny
tt0064522,Mr. and Mrs. Juan Lamaglia
tt0064535,Tibetana
tt0064546,Witchhammer
tt0064553,King Lear
tt0064574,The Last of the Mobile Hot Shots
tt0064582,Der Leone Have Sept Cabeças
tt0064585,Letters from Stalingrad
tt0064586,Juan Pedro the Scyther
tt0064598,London Affair
tt0064607,Love Is a Splendid Illusion
tt0064624,Maid in Sweden
tt0064625,Maidstone
tt0064628,Mama vyshla zamuzh
tt0064649,The McMasters
tt0064761,One Brief Summer
tt0064774,"Eyes Do Not Want to Close at All Times, or, Perhaps One Day Rome Will Allow Herself to Choose in Her Turn"
tt0064781,Fruit of Paradise
tt0064787,A Quiet Place to Kill
tt0064788,Paraíso
tt0064791,Rider on the Rain
tt0064803,Pesn o Manshuk
tt0064804,Le petit bougnat
tt0064822,El pocho
tt0064832,Posol Sovetskogo Soyuza
tt0064839,Crime and Punishment
tt0064843,Case for a Rookie Hangman
tt0064847,Prologue
tt0064849,La provocation
tt0064858,Pyat dney otdykha
tt0064863,Quelé do Pajeú
tt0064864,El quelite
tt0064881,The Reckoning
tt0064900,Robinson Crusoe
tt0064931,The Knight of the Sword
tt0064933,The World of the Dead
tt0064949,Scream and Scream Again
tt0064953,Secret Intentions
tt0064963,The Set
tt0064964,Overrun!
tt0064980,Siempre hay una primera vez
tt0065005,Oso yparhei erotas
tt0065034,Staryy dom
tt0065039,Una storia d'amore
tt0065050,The Super Fight
tt0065053,Svoy
tt0065073,Taste the Blood of Dracula
tt0065080,The Heist
tt0065084,The Witnesses
tt0065108,Tolko tri nochi
tt0065111,Too Little for Such a Big War
tt0065117,Adrift
tt0065127,Tchaikovsky
tt0065128,Belated Flowers
tt0065140,U ozera
tt0065161,Vacation
tt0065173,Le Vent d'Est
tt0065188,"Vojtech, receny sirotek"
tt0065189,Von Haut zu Haut
tt0065192,The Voyeur
tt0065210,Whirlpool
tt0065222,Women and Bloody Terror
tt0065237,"Zavtra, tretyego aprelya..."
tt0065253,¿Es usted mi padre?
tt0065259,El águila descalza
tt0065359,M comme Mathieu
tt0065360,"Tick, Tick, Tick"
tt0065363,"The Daughter: I, a Woman Part III"
tt0065365,Abarten der körperlichen Liebe
tt0065366,"Abel, Your Brother"
tt0065370,Act of the Heart
tt0065371,Adam at Six A.M.
tt0065372,Adam's Woman
tt0065374,The Adventurers
tt0065376,Mr. Gullible
tt0065377,Airport
tt0065378,May Morning
tt0065379,Album polski
tt0065380,Alex in Wonderland
tt0065391,The American Soldier
tt0065393,The Friends
tt0065394,L'amore coniugale
tt0065396,Reconstruction
tt0065400,The Angel Levine
tt0065401,Angel Unchained
tt0065405,Angels Die Hard
tt0065408,The Anonymous Venetian
tt0065413,The Night of the Assassin
tt0065417,Days and Nights in the Forest
tt0065418,La araucana
tt0065420,Long Live Robin Hood
tt0065429,Asediul
tt0065430,A Very Crazy Asylum
tt0065434,Atakku no. 1
tt0065436,Even Dwarfs Started Small
tt0065437,Aus unserer Zeit
tt0065439,The Confession
tt0065441,The Baby Maker
tt0065443,The Ambitious
tt0065445,The Ball of Count Orgel
tt0065446,The Ballad of Cable Hogue
tt0065448,A Baltic Tragedy
tt0065450,Vengeance!
tt0065452,Bartleby
tt0065454,The Boat on the Grass
tt0065457,Beg
tt0065459,The Beloved
tt0065466,Beyond the Valley of the Dolls
tt0065474,Black Angels
tt0065476,Blondie's Number One
tt0065481,Bloody Mama
tt0065484,Bombay Talkie
tt0065486,Borsalino
tt0065488,The Boys in the Band
tt0065491,Mark of the Devil
tt0065493,The Bridge in the Jungle
tt0065495,Brothers Five
tt0065498,Brother Carl
tt0065503,The Scandalous Adventures of Buraikan
tt0065506,Popsy Pop
tt0065511,C.C. & Company
tt0065512,Cutting Heads
tt0065514,Cactus in the Snow
tt0065516,La califfa
tt0065518,The Year of the Cannibals
tt0065528,Catch-22
tt0065530,Le cercle des passions
tt0065531,Le Cercle Rouge
tt0065533,The Seagull
tt0065536,The Mushroom
tt0065544,Little Remi and Famous Dog Capi
tt0065545,Canticle
