tconst,primaryTitle
tt0060477,Gregorio and His Angel
tt0061069,Taro the Dragon Boy
tt0064190,Cristo 70
tt0064411,Heintje - Einmal wird die Sonne wieder scheinen
tt0064554,King of the Reindeer
tt0064702,Moy papa - kapitan
tt0064712,The Moderate Doctor
tt0064831,Posledniye kanikuly
tt0064900,Robinson Crusoe
tt0065040,Strange Holiday
tt0065482,The Boatniks
tt0065500,El bueno para nada
tt0065612,Darpan
tt0065666,Pero the Lump's Gang
tt0065754,Fútbol México 70
tt0065755,Gamera vs. Jiger
tt0065758,Ganwaar
tt0065823,Heintje - Mein bester Freund
tt0065833,La hermanita Dinamita
tt0065878,Ichhapuran
tt0065936,Kati Patang
tt0065943,King of the Grizzlies
tt0066018,Lucie and the Miracles
tt0066129,El nano: Niñera con bigotes
tt0066168,Nøglen til paradis
tt0066202,"Paragon, gola!"
tt0066245,Priklyucheniya zhyoltogo chemodanchika
tt0066256,Pufnstuf
tt0066279,The Railway Children
tt0066297,El rey de Acapulco
tt0066344,Scrooge
tt0066388,Snow Bear
tt0066442,Tayna zheleznoy dveri
tt0066515,Jumping Over Puddles
tt0066533,"Vnimanie, cherepakha!"
tt0066575,Wir kaufen eine Feuerwehr
tt0066660,George!
tt0066728,The Million Dollar Duck
tt0066801,Little Ayse and the Magic Dwarfs in the Land of Dreams
tt0066807,Our Home Is Our Castle
tt0066811,The Barefoot Executive
tt0066834,Black Beauty
tt0066962,Cuna de valientes
tt0067012,Sleeping Beauty
tt0067047,Emil of Lonneberga
tt0067093,Fiddler on the Roof
tt0067104,Flight of the Doves
tt0067123,Gamera vs. Zigra
tt0067148,Godzilla vs. Hedorah
tt0067164,Guddi
tt0067187,Hasamba & the Black Handkerchief Gang
tt0067299,Khod beloy korolevy
tt0067337,Legenda
tt0067400,Le martien de Noël
tt0067403,Maryada
tt0067424,Metrácek
tt0067432,Kid Gang on the Go
tt0067464,The Girl on a Broomstick
tt0067495,Niklas och figuren
tt0067522,"Okh, uzh eta Nastya!"
tt0067524,The Olsen Gang in Jutland
tt0067564,Pepito y la lámpara maravillosa
tt0067570,The Tales of Beatrix Potter
tt0067575,Pierscien ksieznej Anny
tt0067595,The Point
tt0067616,Prince Bajaja
tt0067712,Scandalous John
tt0067760,Sjors en Sjimmie en de Toverring
tt0067818,Tacos al carbón
tt0067838,Telegramma
tt0067863,Toklat
tt0067886,Black Mountain
tt0067982,Who Says I Can't Ride a Rainbow!
tt0067992,Willy Wonka & the Chocolate Factory
tt0068156,1776
tt0068190,Alice's Adventures in Wonderland
tt0068200,The Amazing Mr. Blunden
tt0068201,American Wilderness
tt0068210,Anderssonskans Kalle
tt0068257,Bawarchi
tt0068276,The Biscuit Eater
tt0068355,"Chandar, the Black Leopard of Ceylon"
tt0068374,Chudak iz pyatogo B
tt0068551,Euch werd ich's zeigen
tt0068670,Había una vez un circo
tt0068789,Justin Morgan Had a Horse
tt0068791,Kadoyng
tt0068864,The Little Ark
tt0068866,Living Free
tt0068914,The Man from Swan Farm
tt0069031,"Now You See Him, Now You Don't"
tt0069042,The Olsen Gang's Big Score
tt0069187,De Robins en het Robot komplot
tt0069197,The Call of the Wild
tt0069199,"Run, Cougar, Run"
tt0069218,Sanjog
tt0069229,Treasure Island
tt0069240,Sechse kommen durch die Welt
tt0069252,Six Bears and a Clown
tt0069277,Sjors en Sjimmie en de Rebellen
tt0069291,Snowball Express
tt0069303,Sounder
tt0069458,Veronica
tt0069478,Vuk samotnjak
tt0069536,White Fang
tt0069544,Baba Yaga
tt0069717,Anderssonskans Kalle i busform
tt0069746,Avengers of the Reef
tt0069776,The Belstone Fox
tt0069829,Buleczka
tt0069863,Chabelo y Pepito contra los monstruos
tt0069866,Charley and the Angel
tt0069974,Digby: The Biggest Dog in the World
tt0069975,Dik Trom en zijn dorpsgenoten
tt0070079,From the Mixed-Up Files of Mrs. Basil E. Frankweiler
