tconst,primaryTitle
tt0035423,Kate & Leopold
tt0057461,La rosa de los vientos
tt0059900,"Wenn du groß bist, lieber Adam"
tt0060477,Gregorio and His Angel
tt0062701,Balsamus l'uomo di Satana
tt0064554,King of the Reindeer
tt0064843,Case for a Rookie Hangman
tt0064932,Santo and Blue Demon vs. the Monsters
tt0065050,The Super Fight
tt0065073,Taste the Blood of Dracula
tt0065171,The Vengeance of the Vampire Women
tt0065390,The Amazing Transplant
tt0065410,Aoom
tt0065489,Brancaleone at the Crusades
tt0065492,Brewster McCloud
tt0065633,El diablo Cojuelo
tt0065727,Flesh Feast
tt0065817,"Hassan, the Bald"
tt0065832,Hercules in New York
tt0065834,Heroic Purgatory
tt0065842,Mr. Superinvisible
tt0065854,The House That Dripped Blood
tt0065856,House of Dark Shadows
tt0065862,Four Moods
tt0065915,Libido: The Urge to Love
tt0065917,Jonathan
tt0065920,The Joys of Jezebel
tt0065994,Lokis. Rekopis profesora Wittembacha
tt0066018,Lucie and the Miracles
tt0066099,Up Your Teddy Bear
tt0066102,Move
tt0066181,On a Clear Day You Can See Forever
tt0066207,Donkey Skin
tt0066234,Pound
tt0066268,When Women Had Tails
tt0066276,La ragazza di latta
tt0066344,Scrooge
tt0066349,Bizarre
tt0066363,Una señora llamada Andrés
tt0066414,Strawberries Need Rain
tt0066516,Valerie and Her Week of Wonders
tt0066537,Killing the Devil
tt0066550,Watermelon Man
tt0066561,When Dinosaurs Ruled the Earth
tt0066592,The Yin and the Yang of Mr. Go
tt0066732,200 Motels
tt0066801,Little Ayse and the Magic Dwarfs in the Land of Dreams
tt0066887,Capulina contra los vampiros
tt0066952,"Count Yorga, Vampire"
tt0066980,Queens of Evil
tt0067012,Sleeping Beauty
tt0067055,Equinox
tt0067061,Pinocchio
tt0067345,The Light at the Edge of the World
tt0067386,The Legend of Doom House
tt0067464,The Girl on a Broomstick
tt0067570,The Tales of Beatrix Potter
tt0067580,Pink Narcissus
tt0067592,The Devil's Nightmare
tt0067616,Prince Bajaja
tt0067622,The Projectionist
tt0067639,When Women Lost Their Tails
tt0067749,Shinbone Alley
tt0067753,The Long Swift Sword of Siegfried
tt0067794,Die Stewardessen
tt0067843,Terror at Orgy Castle
tt0067861,The Death of Maria Malibran
tt0067886,Black Mountain
tt0067942,Veruschka - Poetry of a Woman
tt0067958,WR: Mysteries of the Organism
tt0067992,Willy Wonka & the Chocolate Factory
tt0068025,The Apple War
tt0068190,Alice's Adventures in Wonderland
tt0068200,The Amazing Mr. Blunden
tt0068232,Return of the Evil Dead
tt0068236,Expulsion of the Devil
tt0068284,Blacula
tt0068380,The Inner Scar
tt0068482,The Devil's Mirror
tt0068619,Ganja & Hess
tt0068696,Tonight or Never
tt0068722,The Human Goddess
tt0068791,Kadoyng
tt0068894,The Master and Margaret
tt0068909,Man of La Mancha
tt0068996,The Exorcism of Hugh
tt0069086,The Pied Piper
tt0069226,Savages
tt0069240,Sechse kommen durch die Welt
tt0069287,The Snake Man
tt0069458,Veronica
tt0069544,Baba Yaga
