tconst,primaryTitle
tt0064546,Witchhammer
tt0064931,The Knight of the Sword
tt0065375,The Adventures of Gerard
tt0065379,Album polski
tt0065418,La araucana
tt0065439,The Confession
tt0065457,Beg
tt0065489,Brancaleone at the Crusades
tt0065491,Mark of the Devil
tt0065548,Chrezvychainyy komissar
tt0065593,Cromwell
tt0065622,The Decameron
tt0065703,First Love
tt0065777,The Garden of the Finzi-Continis
tt0065922,Julius Caesar
tt0065948,Landscape After Battle
tt0066022,Luk královny Dorotky
tt0066075,Metello
tt0066300,Right on!
tt0066402,Start the Revolution Without Me
tt0066430,The Loves of Liszt
tt0066473,Tora! Tora! Tora!
tt0066526,Vilarinho das Furnas
tt0066538,Vzryv zamedlennogo deystviya
tt0066580,Woodstock
tt0066622,Judgement
tt0066779,The Battle of Crete
tt0066841,Blanche
tt0066855,Bonaparte et la révolution
tt0066883,The French Calvinists
tt0066909,Chelovek s drugoy storony
tt0066947,The Night of San Juan
tt0066969,Dauriya
tt0066993,The Devils
tt0067054,Epilog norymberski
tt0067056,Er più: storia d'amore e di coltello
tt0067108,Delusions of Grandeur
tt0067165,Güemes - la tierra en armas
tt0067166,War Is Hell
tt0067276,Joe Hill
tt0067284,KLK Calling PTZ: The Red Orchestra
tt0067313,"Korona Rossiyskoy Imperii, ili Snova Neulovimye"
tt0067340,I leoni di Pietroburgo
tt0067356,Lockfågeln
tt0067372,Macbeth
tt0067402,"Mary, Queen of Scots"
tt0067483,Nicholas and Alexandra
tt0067523,Battle of Okinawa
tt0067575,Pierscien ksieznej Anny
tt0067647,The Canterbury Tales
tt0067686,Romance of a Horsethief
tt0067693,To the Last Man
tt0067719,Scipio the African
tt0067755,Silence
tt0067916,Up Pompeii
tt0067919,The Emigrants
tt0068156,1776
tt0068161,The Dawns Here Are Quiet
tt0068176,The Dominici Affair
tt0068180,Agent nr 1
tt0068226,Mordet på Trotskij
tt0068303,Boleslaw Smialy
tt0068634,History Lessons
tt0068635,Die gestohlene Schlacht
tt0068641,"Girolimoni, the Monster of Rome"
tt0068679,Harminckét nevem volt
tt0068827,Lady Caroline Lamb
tt0068883,Ludwig
tt0068884,Ludwig - Requiem for a Virgin King
tt0068920,Antony and Cleopatra
tt0068925,Mark of the Devil Part II
tt0068939,Days of '36
tt0068993,A Necklace for My Beloved
tt0069110,Pope Joan
tt0069150,Québec: Duplessis et après...
tt0069154,I racconti romani di una ex novizia
tt0069215,San Michele aveva un gallo
tt0069228,The Scarlet Letter
tt0069256,El señor de Osanto
tt0069406,The Trial of the Catonsville Nine
tt0069434,Ukroshcheniye ognya
tt0069661,...e continuavano a mettere lo diavolo ne lo inferno
tt0069677,Action: The October Crisis of 1970
tt0069690,Allonsanfan
tt0069824,"Brother Sun, Sister Moon"
tt0069884,The Five Days
tt0069912,Le complot
tt0069934,Csínom Palkó
tt0069949,Fury
tt0069977,Cantemir
tt0069982,Days of Betrayal
tt0070010,Dva dnya trevogi
tt0070032,Jatun auka
tt0070046,Executive Action
tt0070051,Heroes Two
tt0070109,Giordano Bruno
tt0070184,Hitler: The Last Ten Days
tt0070239,Jesus Christ Superstar
tt0070250,Juan Moreira
tt0070260,Coup d'Etat
tt0070263,Kamouraska
tt0070278,Kopernik
tt0070340,Love Comes Quietly
tt0070403,The Mommila Murders
tt0070431,Nadezhda
tt0070437,The Nelson Affair
tt0070520,Pavlos Melas
tt0070527,Petöfi '73
tt0070563,Proceso a Jesús
tt0070592,Massacre in Rome
tt0070663,Anno Domini 1573
tt0070684,The Heroic Ones
tt0070792,Theodor Hierneis oder Wie man ehem. Hofkoch wird
tt0070847,Tüzoltó utca 25.
tt0071096,The Abdication
tt0071125,Aloïse
tt0071211,Between Wars
tt0071242,The Murri Affair
tt0071283,The House in the South
tt0071324,The Valiant Ones
tt0071458,Effi Briest
tt0071559,Gniazdo
tt0071604,Hearts and Minds
tt0071609,Himiko
tt0071673,Istoki
tt0071691,The Enigma of Kaspar Hauser
tt0071713,Karl May
tt0071723,Confrontation
tt0071880,The Last 4 Days
tt0071899,The Immortals
tt0071949,Orderers
tt0071976,Rebellion in Patagonia
tt0071983,Penthesilea: Queen of the Amazons
tt0072021,The Deluge
tt0072053,Let Joy Reign Supreme
tt0072151,Prince Ehtejab
