tconst,primaryTitle
tt0054724,I Eat Your Skin
tt0059285,House of the Black Death
tt0062690,Awakening of the Beast
tt0062701,Balsamus l'uomo di Satana
tt0062960,Fear Chamber
tt0063132,Alien Terror
tt0063142,Isle of the Snake People
tt0063552,Hollywood Horror House
tt0063608,Sinthia: The Devil's Doll
tt0064105,The Ancines Woods
tt0064143,Siege of Terror
tt0064188,Crescendo
tt0064273,And God Said to Cain...
tt0064494,Eugenie
tt0064546,Witchhammer
tt0064687,Assignment Terror
tt0064704,Girly
tt0064727,The Bloody Judge
tt0064902,The Blood Rose
tt0064904,Hatchet for the Honeymoon
tt0064949,Scream and Scream Again
tt0065073,Taste the Blood of Dracula
tt0065143,The Bird with the Crystal Plumage
tt0065168,The Nude Vampire
tt0065189,Von Haut zu Haut
tt0065222,Women and Bloody Terror
tt0065398,And Soon the Darkness
tt0065424,Sweet Kill
tt0065456,Beast of Blood
tt0065458,The Amorous Adventures of a Young Postman
tt0065470,Bigfoot
tt0065478,Blood Mania
tt0065479,Blood of the Iron Maiden
tt0065480,Bloodthirsty Butchers
tt0065483,The Body Beneath
tt0065491,Mark of the Devil
tt0065538,Chanoc contra el tigre y el vampiro
tt0065553,Five Dolls for an August Moon
tt0065569,Count Dracula
tt0065580,Countess Dracula
tt0065595,Crucible of Horror
tt0065597,Cry of the Banshee
tt0065640,Il dio serpente
tt0065656,Dorian Gray
tt0065660,"Dracula, Prisoner of Frankenstein"
tt0065669,The Dunwich Horror
tt0065693,In the Folds of the Flesh
tt0065727,Flesh Feast
tt0065737,Fragment of Fear
tt0065744,The Shiver of the Vampires
tt0065750,Fury of the Wolfman
tt0065761,The Cat o' Nine Tails
tt0065762,The Vampire Happening
tt0065790,Goodbye Gemini
tt0065851,The Horror of Frankenstein
tt0065852,Horror of the Blood Monsters
tt0065854,The House That Dripped Blood
tt0065856,House of Dark Shadows
tt0065887,Incense for the Damned
tt0065905,Scream of the Demon Lover
tt0065917,Jonathan
tt0065931,Kaidan Kasane-ga-fuchi
tt0065932,Blind Woman's Curse
tt0065994,Lokis. Rekopis profesora Wittembacha
tt0066040,Don't Deliver Us from Evil
tt0066058,Mark of the Witch
tt0066077,Moon and Midnight
tt0066104,She Killed in Ecstasy
tt0066132,Web of the Spider
tt0066141,The Night Visitor
tt0066144,The Night of the Sorcerers
tt0066145,Night of the Witches
tt0066160,The Werewolf Versus the Vampire Woman
tt0066267,Something Creeping in the Dark
tt0066285,The Ravager
tt0066349,Bizarre
tt0066380,Vampyros Lesbos
tt0066395,A Sword for Brando
tt0066412,The Strange Vice of Mrs. Wardh
tt0066446,Terror in the Streets
tt0066475,Torture Dungeon
tt0066476,The Touch of Satan
tt0066492,Trog
tt0066517,"Cuadecuc, vampir"
tt0066518,The Vampire Lovers
tt0066519,The Horrible Sexy Vampire
tt0066554,Die Weibchen
tt0066578,The Wizard of Gore
tt0066600,The Vampire Doll
tt0066740,The Abominable Dr. Phibes
tt0066757,The Feast of Satan
tt0066815,The Beast in the Cellar
tt0066816,The Beast of the Yellow Night
tt0066827,Asylum Erotica
tt0066845,Will to Die
tt0066847,Blood Thirst
tt0066848,Blood and Lace
tt0066849,The Blood on Satan's Claw
tt0066863,The Brotherhood of Satan
tt0066871,Burke & Hare
tt0066887,Capulina contra los vampiros
tt0066893,Carnival of Blood
tt0066914,A Virgin Among the Living Dead
tt0066952,"Count Yorga, Vampire"
tt0066958,Crucible of Terror
tt0066980,Queens of Evil
tt0066982,Demons of the Mind
tt0066990,Deviation
tt0067016,Dr. Jekyll vs. The Werewolf
tt0067017,Dracula vs. Frankenstein
tt0067052,Endless Night
tt0067063,Escalofrío diabólico
tt0067094,Beware My Brethren
tt0067119,Fright
tt0067169,"Guru, the Mad Monk"
tt0067176,Hands of the Ripper
tt0067178,They Have Changed Their Face
tt0067192,The Headless Eyes
tt0067210,O Homem Lobo
tt0067229,I Drink Your Blood
tt0067236,The Iguana with the Tongue of Fire
tt0067243,In the Devil's Garden
tt0067245,The Incredible 2-Headed Transplant
tt0067260,Seven Murders for Scotland Yard
tt0067282,Jungfrauen-Report
tt0067321,Lady Frankenstein
tt0067341,Let's Scare Jessica to Death
tt0067352,La llamada del vampiro
tt0067367,Lust for a Vampire
tt0067384,Short Night of Glass Dolls
tt0067386,The Legend of Doom House
tt0067396,The Murder Mansion
tt0067417,Exorcism's Daughter
tt0067419,The Mephisto Waltz
tt0067453,Der Todesrächer von Soho
tt0067454,Multiple Maniacs
tt0067457,Murders in the Rue Morgue
tt0067459,Queen Doll
tt0067461,Resentment of Daughter-in-law
tt0067469,N. Took the Dice
tt0067473,Nightshade
tt0067480,The Butcher of Binbrook
tt0067486,The Night Digger
tt0067487,The Night Evelyn Came Out of the Grave
tt0067488,The Night God Screamed
tt0067489,What the Peeper Saw
tt0067491,Night of Dark Shadows
tt0067500,Tombs of the Blind Dead
tt0067503,Lake of Dracula
tt0067505,Night of the Damned
tt0067511,Cold Eyes of Fear
tt0067513,Eye in the Labyrinth
tt0067515,Octaman
tt0067556,Pastel de sangre
tt0067592,The Devil's Nightmare
tt0067594,Point of Terror
tt0067601,The Possession of Joel Delaney
tt0067630,The Death Wheelers
tt0067640,Quando os Deuses Adormecem
tt0067656,A Bay of Blood
tt0067663,The Reincarnate
tt0067671,The Return of Count Yorga
tt0067690,Daughters of Darkness
tt0067707,Santo vs. Frankenstein's Daughter
tt0067708,Santo and Blue Demon vs. Dracula and the Wolf Man
tt0067716,Schlock
tt0067727,See No Evil
tt0067757,"Simon, King of the Witches"
tt0067780,South of Hell Mountain
tt0067799,The Mad Butcher
tt0067822,Tam Lin
tt0067836,Glass Ceiling
tt0067843,Terror at Orgy Castle
tt0067871,The Toy Box
tt0067885,The Third Part of the Night
tt0067924,Vampire Circus
tt0067929,The Velvet Vampire
tt0067934,The Legend of Spider Forest
tt0067948,The Invisible Dead
tt0067950,Requiem for a Vampire
tt0067972,Werewolves on Wheels
tt0067975,What's the Matter with Helen?
tt0067983,Whoever Slew Auntie Roo?
tt0067991,Willard
tt0068005,You'll Like My Mother
tt0068172,The Adult Version of Jekyll & Hide
tt0068186,Tropic of Cancer
tt0068187,Alabama's Ghost
tt0068199,The Devil's Lover
tt0068230,Asylum
tt0068231,Asylum of Satan
tt0068236,Expulsion of the Devil
tt0068264,Ben
tt0068271,Beware! The Blob
tt0068272,A White Dress for Marialé
tt0068284,Blacula
tt0068288,Blood Orgy of the She-Devils
tt0068289,Blood Sabbath
tt0068290,Blood from the Mummy's Tomb
tt0068313,Brain of Blood
tt0068324,Bummer
tt0068343,La casa de las muertas vivientes
tt0068352,The Legend of Blood Castle
tt0068370,Children Shouldn't Play with Dead Things
tt0068394,Knife of Ice
tt0068414,The Corpse Grinders
tt0068415,Seven Deaths in the Cat's Eyes
tt0068416,What Have You Done to Solange?
tt0068424,The Creeping Flesh
tt0068425,The Cremators
tt0068430,The Crimes of Petiot
tt0068437,The Curse of the Alpha Stone
tt0068438,Curse of the Headless Horseman
tt0068440,The Bloody Slaying of Sarah Ridelander
tt0068444,The Red Queen Kills Seven Times
tt0068448,Daughters of Satan
tt0068456,Dear Dead Delilah
tt0068457,Deathdream
tt0068458,Death Line
tt0068459,Deathmaster
tt0068471,Delirio caldo
tt0068485,"Die Sister, Die!"
tt0068489,Disciple of Death
tt0068498,Doomwatch
tt0068502,Dr Jekyll & Sister Hyde
tt0068503,Dr. Phibes Rises Again
tt0068504,The Mansion of Madness
tt0068505,Dracula A.D. 1972
tt0068522,Les démons
tt0068540,Enter the Devil
tt0068547,El espectro del terror
tt0068559,La maldición de Frankenstein
tt0068577,Fear in the Night
