tconst,primaryTitle
tt0058950,"Auliban, the Seller of Rings"
tt0064183,Con ella llegó el amor
tt0064411,Heintje - Einmal wird die Sonne wieder scheinen
tt0064592,Lisa dagli occhi blu
tt0065128,Belated Flowers
tt0065147,"Un, dos, tres... al escondite inglés"
tt0065395,Amore formula 2
tt0065484,Bombay Talkie
tt0065611,Darling Lili
tt0065690,En un lugar de La Manga
tt0065691,Juan y Junior... en un mundo diferente
tt0065758,Ganwaar
tt0065766,"Keine Angst Liebling, ich pass schon auf"
tt0065817,"Hassan, the Bald"
tt0065848,L'homme orchestre
tt0065936,Kati Patang
tt0066007,Sign of Aquarius
tt0066110,"Musik, Musik - da wackelt die Penne"
tt0066207,Donkey Skin
tt0066223,"Pierna creciente, falda menguante"
tt0066241,Prem Pujari
tt0066271,Quelli belli... siamo noi
tt0066290,El relicario
tt0066393,Song of Norway
tt0066461,One Song a Day Takes Mischief Away
tt0066469,Toomorrow
tt0066548,What Is the Matter with Willi?
tt0066556,Wenn die tollen Tanten kommen
tt0066587,The Singing Killer
tt0066611,¡Qué cosas tiene el amor!
tt0066738,"A mí las mujeres, ni fu ni fa"
tt0066758,Amar Prem
tt0066763,Anand
tt0066797,Außer Rand und Band am Wolfgangsee
tt0066858,The Boy Friend
tt0066888,Caravan
tt0066891,"Grazie zio, ci provo anch'io"
tt0067049,La red de mi canción
tt0067050,En un mundo nuevo
tt0067093,Fiddler on the Roof
tt0067173,Haie an Bord
tt0067183,Haré Rama Haré Krishna
tt0067231,IXE-13
tt0067430,Milion za Laure
tt0067467,Red Psalm
tt0067506,La novicia rebelde
tt0067546,Pakeezah
tt0067607,Prema Nagar
tt0067668,Reshma and Shera
tt0067742,Sharmeelee
tt0067745,Shelmenko-denshchik
tt0067768,El sobre verde
tt0067928,Varietés
tt0067975,What's the Matter with Helen?
tt0067992,Willy Wonka & the Chocolate Factory
tt0068011,Zachariah
tt0068185,"Al diablo, con amor"
tt0068301,La boda o la vida
tt0068327,Cabaret
tt0068351,La cera virgen
tt0068383,Ciprian Porumbescu
tt0068541,Entre dos amores
tt0068616,"Fuss, hogy utolérjenek!"
tt0068620,Garam Masala
tt0068670,Había una vez un circo
tt0068909,Man of La Mancha
tt0068999,"Don't Cheat, Darling!"
tt0069039,Oh! Calcutta!
tt0069086,The Pied Piper
tt0069196,"Rudi, benimm dich!"
tt0069198,The Ruling Class
tt0069458,Veronica
tt0069666,Thirty Maidens and Pythagoras
tt0069671,Abhimaan
tt0069711,Anamika
tt0069743,Aus dem Leben eines Taugenichts
tt0069810,Bobby
tt0069832,Boer Boerson Jr.
tt0069872,The Girl from the Red Cabaret
tt0069934,Csínom Palkó
tt0069996,Don't Play Us Cheap
tt0070121,Godspell
tt0070172,Herra Huu - jestapa jepulis - penikat sipuliks
tt0070194,Take Me High
tt0070239,Jesus Christ Superstar
tt0070371,Marco
tt0070378,Me has hecho perder el juicio
tt0070390,Mi hijo no es lo que parece
tt0070452,A Night at Karlstein
tt0070554,Polvere di stelle
tt0070814,Tom Sawyer
tt0070874,Veronica se întoarce
tt0070935,Procession of Memories
tt0071179,"Avtomobil, skripka i sobaka Klyaksa"
tt0071289,Catch My Soul
tt0071328,Cinco almohadas para una noche
tt0071376,Cuando los niños vienen de Marsella
tt0071538,The Jewish Gauchos
tt0071634,Huckleberry Finn
tt0071715,Kazablan
tt0071762,The Little Prince
tt0071773,Lost in the Stars
tt0071803,Mame
tt0071811,Manoranjan
tt0072026,Prem Nagar
tt0072096,Romans o vlyublyonnykh
tt0072100,Roti Kapada Aur Makaan
tt0072232,Svoy paren
tt0072242,Szikrázó lányok
tt0072272,That's Entertainment!
tt0072434,Zaczarowane podwórko
tt0072655,Ar-khi-me-dy!
tt0072665,At Long Last Love
tt0072844,Darktown Strutters
tt0072872,Princess Chang Ping
tt0072971,The Fantastic Magic Baby
tt0072993,Slade in Flame
tt0073391,Mili
tt0073442,It Can't Be!
tt0073480,Mr. Quilp
tt0073521,Bahia
tt0073569,Prem Kahani
tt0073629,The Rocky Horror Picture Show
tt0073781,Queen of the Gypsies
tt0073812,Tommy
tt0074104,Ajani Ogun
tt0074106,"Al fin solos, pero..."
tt0074111,Las alegres chicas de 'El Molino'
tt0074139,The Amorous Adventures of Don Quixote and Sancho Panza
tt0074150,Aradhana
tt0074168,Return of the Prodigal Son
tt0074250,"¡Bruja, más que bruja!"
tt0074424,Dos chicas de revista
tt0074481,En esta primavera
tt0074519,Ci lang zhou
tt0074533,The First Nudie Musical
tt0074578,Goldflocken
tt0074766,Kuni Leml in Tel Aviv
tt0074934,La mujer es un buen negocio
tt0074949,Nagin
tt0075030,Twentieth Century Oz
tt0075155,Rozygrysh
tt0075225,How Czar Peter the Great Married Off His Moor
tt0075323,"That's Entertainment, Part II"
tt0075653,Prelude
tt0075825,Chala Murari Hero Banne
tt0075849,Cinderella
tt0075850,Cinderella 2000
tt0075868,Come Play with Me
tt0075959,Jin yu liang yuan hong lou meng
tt0076055,French Quarter
tt0076139,Hershele
tt0076319,A Little Night Music
tt0076323,Una loca extravagancia sexy
tt0076340,Ma-ma
tt0076451,"New York, New York"
tt0076576,Préstamela esta noche
tt0076583,Que te vaya bonito
tt0076757,Staatsoperette
tt0077203,Ballad for a Bandit
tt0077297,"Carmen, la que contaba 16 años"
tt0077409,Death Drug
tt0077454,Donde hay patrón...
tt0077631,Grease
tt0077650,"Hello, Fred the Beard"
tt0077880,Lulu
tt0077890,The Magic of Lassie
tt0077952,Movie Movie
tt0078098,Poka bezumstvuyet mechta
tt0078238,Sextette
tt0078278,Slow Dancing in the Big City
tt0078412,Train Ride to Hollywood
tt0078418,Trishul
tt0078747,"Alejandra, mon amour"
tt0078754,All That Jazz
tt0079261,Hair
