tconst,primaryTitle
tt0015724,Dama de noche
tt0063142,Isle of the Snake People
tt0064225,Last Known Address
tt0064787,A Quiet Place to Kill
tt0064791,Rider on the Rain
tt0064843,Case for a Rookie Hangman
tt0064904,Hatchet for the Honeymoon
tt0064930,Santo vs. Blue Demon in Atlantis
tt0065143,The Bird with the Crystal Plumage
tt0065385,The Wedding Ring
tt0065390,The Amazing Transplant
tt0065398,And Soon the Darkness
tt0065515,The Sensuous Assassin
tt0065553,Five Dolls for an August Moon
tt0065568,The Weekend Murders
tt0065584,Safety Catch
tt0065610,Darker Than Amber
tt0065618,Dead of Summer
tt0065677,The Forbidden Photos of a Lady Above Suspicion
tt0065727,Flesh Feast
tt0065761,The Cat o' Nine Tails
tt0065949,The Theft
tt0065957,The Lady in the Car with Glasses and a Gun
tt0065970,The Lawyer
tt0066208,Burglar and Umbrella
tt0066242,Presage
tt0066385,Skulle det dukke opp flere lik er det bare å ringe.....
tt0066395,A Sword for Brando
tt0066412,The Strange Vice of Mrs. Wardh
tt0066413,The Spider's Stratagem
tt0066446,Terror in the Streets
tt0066450,They Call Me Mister Tibbs!
tt0066592,The Yin and the Yang of Mr. Go
tt0066623,The Fourth Victim
tt0066735,Four Flies on Grey Velvet
tt0066769,The Andromeda Strain
tt0066827,Asylum Erotica
tt0066845,Will to Die
tt0066886,Captain Apache
tt0066923,L'uomo più velenoso del cobra
tt0066924,The Case of the Scorpion's Tail
tt0066945,The Double
tt0066960,Cry Uncle
tt0067015,Doña Macabra
tt0067084,The Bloodstained Butterfly
tt0067099,Finis Hominis
tt0067134,The Fifth Cord
tt0067217,The Hospital
tt0067236,The Iguana with the Tongue of Fire
tt0067242,In the Name of the Italian People
tt0067260,Seven Murders for Scotland Yard
tt0067309,Klute
tt0067341,Let's Scare Jessica to Death
tt0067361,A Lizard in a Woman's Skin
tt0067384,Short Night of Glass Dolls
tt0067395,The Price of Death
tt0067419,The Mephisto Waltz
tt0067434,My Dear Killer
tt0067446,Death Walks on High Heels
tt0067453,Der Todesrächer von Soho
tt0067457,Murders in the Rue Morgue
tt0067459,Queen Doll
tt0067487,The Night Evelyn Came Out of the Grave
tt0067491,Night of Dark Shadows
tt0067505,Night of the Damned
tt0067513,Eye in the Labyrinth
tt0067526,Cross Current
tt0067594,Point of Terror
tt0067610,Pretty Maids All in a Row
tt0067645,Quest for Love
tt0067656,A Bay of Blood
tt0067669,The Resurrection of Zachary Wheeler
tt0067674,Revenge Is My Destiny
tt0067696,Seven Blood-Stained Orchids
tt0067727,See No Evil
tt0067742,Sharmeelee
tt0067822,Tam Lin
tt0067836,Glass Ceiling
tt0067848,They Might Be Giants
tt0067868,Angels of Terror
tt0067871,The Toy Box
tt0067896,L'udienza
tt0067902,And Jimmy Went to the Rainbow's Foot
tt0067941,The Hassled Hooker
tt0067981,Who Killed Mary Whats'ername?
tt0068008,Yusra
tt0068177,The Manipulator
tt0068186,Tropic of Cancer
tt0068200,The Amazing Mr. Blunden
tt0068206,Amuck
tt0068227,The Killer Is on the Phone
tt0068272,A White Dress for Marialé
tt0068292,The Devil with Seven Faces
tt0068332,Cancel My Reservation
tt0068337,The Carey Treatment
tt0068343,La casa de las muertas vivientes
tt0068346,The Mattei Affair
tt0068367,Who Saw Her Die?
tt0068369,Child's Play
tt0068388,The Two Faces of Fear
tt0068394,Knife of Ice
tt0068415,Seven Deaths in the Cat's Eyes
tt0068416,What Have You Done to Solange?
tt0068430,The Crimes of Petiot
tt0068444,The Red Queen Kills Seven Times
tt0068470,Dela davno minuvshikh dney...
tt0068471,Delirio caldo
tt0068484,Devil in the Brain
tt0068498,Doomwatch
tt0068521,Ten Days Wonder
tt0068577,Fear in the Night
tt0068583,Daughter of Dracula
tt0068615,Frogs
tt0068625,The Dead Are Alive!
tt0068655,The Tall Blond Man with One Black Shoe
tt0068663,The Groundstar Conspiracy
tt0068699,High Plains Drifter
tt0068716,Tower of Evil
tt0068732,Images
tt0068777,Naked Girl Murdered in the Park
tt0068820,Krug
tt0068837,The Legend of Boggy Creek
tt0068863,Lisa and the Devil
tt0068870,The Man Called Noon
tt0068971,Death Walks at Midnight
tt0068972,Death Smiles on a Murderer
tt0068973,La morte scende leggera
tt0068979,Creeping Death
tt0069001,Night Call Nurses
tt0069015,No es bueno que el hombre esté solo
tt0069017,Night of the Devils
tt0069019,Don't Torture a Duckling
tt0069024,Nothing But the Night
tt0069041,Blue Eyes of the Broken Doll
tt0069050,The Other
tt0069064,Passi di danza su una lama di rasoio
tt0069073,The Case of the Bloody Iris
tt0069094,The Most Wonderful Evening of My Life
tt0069118,Premonition
tt0069124,Private Parts
tt0069143,The Killer with a Thousand Eyes
tt0069146,Some Too Quiet Gentlemen
tt0069158,Rage
tt0069186,"So Sweet, So Dead"
tt0069187,De Robins en het Robot komplot
tt0069206,Sadegh the Kurd
tt0069212,The Salzburg Connection
tt0069219,Without Apparent Motive
tt0069238,My Brother Has Bad Dreams
tt0069243,Someone Is Bleeding
tt0069253,The Crimes of the Black Cat
tt0069255,Sexy Cat
tt0069281,Sleuth
tt0069293,Solaris
tt0069341,Tales from the Crypt
tt0069343,Black Belly of the Tarantula
tt0069358,Ecstasy of the Angels
tt0069362,Terror at Red Wolf Inn
tt0069371,They Only Kill Their Masters
tt0069381,Tikhie berega
tt0069382,Timanfaya (Amor prohibido)
tt0069421,Your Vice Is a Locked Room and Only I Have the Key
tt0069439,Murder Is a Murder
tt0069593,Shadowman
tt0069711,Anamika
tt0069730,"The Weapon, the Hour, the Motive"
tt0069732,Arnold
tt0069734,The Killer Is One of 13
tt0069736,Ash Wednesday
tt0069797,Blade
tt0069850,The French Sex Murders
tt0069920,Torso
tt0069922,The Corruption of Chris Miller
tt0069995,Don't Look Now
tt0070022,Electra Glide in Blue
tt0070062,The Flower with the Deadly Sting
tt0070087,Wit's End
tt0070110,Giorni d'amore sul filo di una lama
tt0070133,The Burned Barns
tt0070152,"Happy Mother's Day, Love George"
tt0070195,The House in Nightmare Park
tt0070223,El investigador Capulina
tt0070251,El juego del adulterio
tt0070291,The Last of Sheila
tt0070312,A Dragonfly for Each Corpse
tt0070355,Magnum Force
tt0070366,The Manchu Eagle Murder Caper Mystery
tt0070380,Medusa
tt0070417,The Killer Wore Gloves
tt0070444,Night Watch
tt0070522,Violent Blood Bath
tt0070524,Penny Gold
tt0070565,The Perfume of the Lady in Black
tt0070578,The Pyx
tt0070636,Satanico Pandemonium
tt0070641,Slap the Monster on Page One
tt0070689,Siddhartha
tt0070694,"Silent Night, Bloody Night"
tt0070698,Sisters
tt0070723,Soylent Green
tt0070779,Tender and Perverse Emanuelle
tt0070783,Terror in the Wax Museum
tt0070836,The Magnificent Dare Devil
tt0070916,"Wicked, Wicked"
tt0070917,The Wicker Man
tt0070959,State of Siege
tt0071086,5 donne per l'assassino
tt0071167,The Killer Reserved Nine Seats
tt0071185,Il baco da seta
tt0071200,The Beast Must Die
tt0071205,Benaam
tt0071222,Black Christmas
tt0071276,Captain Kronos: Vampire Hunter
tt0071278,Caravan to Vaccares
tt0071315,Chinatown
tt0071321,Christina
tt0071322,The Color of Iris
tt0071326,"Clap, You're Dead"
tt0071360,The Conversation
tt0071379,El cumpleaños del perro
tt0071405,Delitto d'autore
tt0071416,The Devil's Triangle
tt0071439,The Vengeance of Doctor Mabuse
tt0071471,Evil Eye
tt0071474,Esupai
tt0071537,Eyeball
tt0071549,Stranger and the Fog
tt0071629,The House on Skull Mountain
tt0071648,Il faut vivre dangereusement
tt0071684,Los jaguares contra el invasor misterioso
tt0071694,The Murdered Young Girl
tt0071722,A Knife for the Ladies
tt0071756,Lifespan
tt0071790,Madhouse
tt0071800,Compulsed
tt0071806,Man on a Swing
tt0071808,Blood Stains in a New Car
tt0071838,The Midnight Man
tt0071877,Murder on the Orient Express
tt0071950,Footprints on the Moon
tt0071989,Perversión
tt0072081,The Return of the Pink Panther
tt0072123,The Flower in His Mouth
tt0072131,The Secret
tt0072162,Un silencio de tumba
tt0072190,Sonar Kella
tt0072196,Spasmo
tt0072235,Sweet Movie
tt0072263,Ten Little Indians
tt0072270,Der Teufel in Miss Jonas
tt0072299,Todos los gritos del silencio
tt0072349,Puzzle
tt0072405,Who?
tt0072595,The Immortal Bachelor
tt0072709,Black Moon
tt0072710,A Black Ribbon for Deborah
tt0072735,Breakheart Pass
tt0072740,Diamonds for the Dictatorship of the Proletariat
tt0072750,Bug
tt0072780,Chisto angliyskoe ubiystvo
tt0072792,The Clown Murders
tt0072812,Conduct Unbecoming
tt0072876,Diagnosis: Murder
tt0072912,The Drowning Pool
tt0072937,Encounter with the Unknown
tt0072957,Evil Seducers
tt0072973,"Farewell, My Lovely"
tt0073024,Fugitive Lovers
tt0073133,Hustle
tt0073236,Khel Khel Mein
tt0073327,Autopsy
tt0073363,Manila in the Claws of Light
tt0073453,Night Moves
tt0073470,Strip Nude for Your Killer
tt0073491,Ordine firmato in bianco
tt0073514,Parapsycho - Spektrum der Angst
tt0073526,Peeper
tt0073540,Picnic at Hanging Rock
tt0073554,The Police Are Blundering in the Dark
tt0073582,Deep Red
tt0073583,Propavshaya ekspeditsiya
tt0073615,The Reincarnation of Peter Proud
