tconst,primaryTitle
tt0015724,Dama de noche
tt0035423,Kate & Leopold
tt0059325,Born in '45
tt0064165,The Things of Life
tt0064182,Rimal min dhahab
tt0064221,Den i vsya zhizn
tt0064359,The Gamblers
tt0064385,"Shine, Shine, My Star"
tt0064437,The Honeymoon Killers
tt0064510,Jenny
tt0064598,London Affair
tt0064607,Love Is a Splendid Illusion
tt0064761,One Brief Summer
tt0064858,Pyat dney otdykha
tt0065108,Tolko tri nochi
tt0065128,Belated Flowers
tt0065134,Two Mules for Sister Sara
tt0065235,"I Killed Einstein, Gentlemen"
tt0065359,M comme Mathieu
tt0065379,Album polski
tt0065408,The Anonymous Venetian
tt0065437,Aus unserer Zeit
tt0065446,The Ballad of Cable Hogue
tt0065450,Vengeance!
tt0065465,Die Bettwurst
tt0065484,Bombay Talkie
tt0065520,Cannon for Cordoba
tt0065521,Give Her the Moon
tt0065524,Carry on Loving
tt0065527,A Pocketful of Chestnuts
tt0065549,The Christine Jorgensen Story
tt0065570,El Condor
tt0065642,Dirty Dingus Magee
tt0065651,Bed & Board
tt0065653,Don Giovanni
tt0065662,The Pizza Triangle
tt0065672,Dzieciol
tt0065698,Angels with Burnt Wings
tt0065701,Erika's Hot Summer
tt0065703,First Love
tt0065772,Claire's Knee
tt0065775,Getting Straight
tt0065795,The Grasshopper
tt0065797,The Great White Hope
tt0065842,Mr. Superinvisible
tt0065862,Four Moods
tt0065865,Hooray for the Blue Hussars
tt0065921,El juicio de los hijos
tt0065948,Landscape After Battle
tt0065955,A Love Story
tt0065963,The Landlord
tt0065979,The Liberation of L.B. Jones
tt0066004,Piao xiang jian yu
tt0066011,Love Story
tt0066041,The House of the Bories
tt0066099,Up Your Teddy Bear
tt0066122,Deep End
tt0066124,The Beginning
tt0066128,Nana
tt0066184,The Only Game in Town
tt0066195,The Owl and the Pussycat
tt0066211,Perestupi porog
tt0066217,The Granddaughter's Model
tt0066266,Quackser Fortune Has a Cousin in the Bronx
tt0066271,Quelli belli... siamo noi
tt0066290,El relicario
tt0066316,Rubia's Jungle
tt0066319,Ryan's Daughter
tt0066341,The School Girls
tt0066358,Sex-Power
tt0066415,The Strawberry Statement
tt0066436,Take a Girl Like You
tt0066445,"Tell Me That You Love Me, Junie Moon"
tt0066449,There's a Girl in My Soup
tt0066454,Three Sisters
tt0066501,Love Me Strangely
tt0066512,Up in the Cellar
tt0066528,The Virgin and the Gypsy
tt0066540,WUSA
tt0066542,A Walk in the Spring Rain
tt0066543,The Walking Stick
tt0066544,Wanted: Perfect Mother
tt0066557,Wenn du bei mir bist
tt0066561,When Dinosaurs Ruled the Earth
tt0066585,Wuthering Heights
tt0066604,Time of the Storks
tt0066623,The Fourth Victim
tt0066742,Aci
tt0066758,Amar Prem
tt0066760,El amor de María Isabel
tt0066764,Anche per Django le carogne hanno un prezzo
tt0066766,Andaz
tt0066770,Anflug Alpha I
tt0066777,El apartamento de la tentación
tt0066803,B.S. I Love You
tt0066858,The Boy Friend
tt0066875,The Buttercup Chain
tt0066894,Carry on Henry VIII
tt0066916,Chyornye sukhari
tt0066968,Dash Akol
tt0066989,Two English Girls
tt0067020,Du und ich und Klein-Paris
tt0067028,In the Summertime
tt0067035,"Raise Your Hands, Dead Man, You're Under Arrest"
tt0067049,La red de mi canción
tt0067068,Evdokia
tt0067087,Faustine et le bel été
tt0067103,Fleur bleue
tt0067118,Friends
tt0067137,Girl Stroke Boy
tt0067144,The Go-Between
tt0067168,A Gunfight
tt0067185,Harold and Maude
tt0067214,Honky
tt0067232,Las ibéricas F.C.
tt0067244,Incontro
tt0067295,Kaszebe
tt0067328,The Last Picture Show
tt0067343,Liebe ist nur ein Wort
tt0067357,"Long Ago, Tomorrow"
tt0067376,Maddalena
tt0067385,The Troubles of Alfred
tt0067389,Sergeant Klems
tt0067403,Maryada
tt0067404,María
tt0067409,Max and the Junkmen
tt0067418,Melody
tt0067425,Mi querida señorita
tt0067433,Minnie and Moskowitz
tt0067438,Molodye
tt0067445,Death in Venice
tt0067478,Naya Zamana
tt0067482,A New Leaf
tt0067514,The Voyage of Tanai
tt0067517,Officers
tt0067520,In the Eye of the Hurricane
tt0067545,The Lost Forest
tt0067546,Pakeezah
tt0067555,Parwana
tt0067569,The Perfect Arrangement
tt0067574,5 i 1/2 Bladego Józka
tt0067589,Plaza Suite
tt0067607,Prema Nagar
tt0067614,El primer paso... de la mujer
tt0067620,Private Road
tt0067636,Pyar Ki Kahani
tt0067641,Four Nights of a Dreamer
tt0067645,Quest for Love
tt0067649,Downpour
tt0067654,Rasskazhi mne o sebe
tt0067668,Reshma and Shera
tt0067695,Russkoye pole
tt0067705,The Sandpit Generals
tt0067717,Schoolgirl Report Part 2: What Keeps Parents Awake at Night
tt0067726,Sedmoye nebo
tt0067742,Sharmeelee
tt0067766,Smoke in the Wind
tt0067803,Summer of '42
tt0067806,His Name Was Pot... But They Called Him Allegria
tt0067809,Support Your Local Gunfighter
tt0067815,Sinbad
tt0067818,Tacos al carbón
tt0067840,Tere Mere Sapne
tt0067848,They Might Be Giants
tt0067897,Umutsuzlar
tt0067901,A Few Hours of Sunlight
tt0067908,Uno y medio contra el mundo
tt0067912,Apocalypse Joe
tt0067932,Come Have Coffee with Us
