tconst,primaryTitle
tt0061592,Doomsday Machine
tt0062960,Fear Chamber
tt0063132,Alien Terror
tt0064177,Colossus: The Forbin Project
tt0064465,Ice
tt0064687,Assignment Terror
tt0064711,Männer sind zum Lieben da
tt0065235,"I Killed Einstein, Gentlemen"
tt0065331,"You Are a Widow, Sir!"
tt0065462,Beneath the Planet of the Apes
tt0065470,Bigfoot
tt0065591,Crimes of the Future
tt0065691,Juan y Junior... en un mundo diferente
tt0065760,Gas! -or- It Became Necessary to Destroy the World in Order to Save It.
tt0065776,Space Amoeba
tt0065801,The Big Mess
tt0065851,The Horror of Frankenstein
tt0065852,Horror of the Blood Monsters
tt0066080,The Mind of Mr. Soames
tt0066121,On the Comet
tt0066154,No Blade of Grass
tt0066268,When Women Had Tails
tt0066276,La ragazza di latta
tt0066379,Signale - Ein Weltraumabenteuer
tt0066434,THX 1138
tt0066442,Tayna zheleznoy dveri
tt0066469,Toomorrow
tt0066484,Transplant of a Brain
tt0066492,Trog
tt0066728,The Million Dollar Duck
tt0066769,The Andromeda Strain
tt0066908,Three Supermen in the Jungle
tt0066921,A Clockwork Orange
tt0066955,Creatures the World Forgot
tt0067017,Dracula vs. Frankenstein
tt0067065,Escape from the Planet of the Apes
tt0067141,Glen and Randa
tt0067163,A Big Grey-Blue Bird
tt0067175,The Hand of Pleasure
tt0067245,The Incredible 2-Headed Transplant
tt0067400,Le martien de Noël
tt0067470,N.P.
tt0067515,Octaman
tt0067525,The Omega Man
tt0067575,Pierscien ksieznej Anny
tt0067639,When Women Lost Their Tails
tt0067669,The Resurrection of Zachary Wheeler
tt0067716,Schlock
tt0067756,Silent Running
tt0067871,The Toy Box
tt0068172,The Adult Version of Jekyll & Hide
tt0068271,Beware! The Blob
tt0068313,Brain of Blood
tt0068317,Brother John
tt0068408,Conquest of the Planet of the Apes
tt0068424,The Creeping Flesh
tt0068425,The Cremators
tt0068498,Doomwatch
tt0068502,Dr Jekyll & Sister Hyde
tt0068542,Eolomea
