tconst,primaryTitle
tt0065050,The Super Fight
tt0065434,Atakku no. 1
tt0065732,Formula 1: Nell'Inferno del Grand Prix
tt0065753,Fußball wie noch nie
tt0065754,Fútbol México 70
tt0065757,The Games
tt0065797,The Great White Hope
tt0065906,Jack Johnson
tt0066202,"Paragon, gola!"
tt0066243,Il presidente del Borgorosso Football Club
tt0066400,"Sport, sport, sport"
tt0066581,The World at Their Feet
tt0066773,The Goalie's Anxiety at the Penalty Kick
tt0067113,Winged Devils
tt0067299,Khod beloy korolevy
tt0067385,The Troubles of Alfred
tt0067424,Metrácek
tt0067460,My Kingdom for...
tt0067527,On Any Sunday
tt0067783,The Sporting Club
tt0068178,Weekend of a Champion
tt0068283,Black Rodeo
tt0068364,The Cheerleaders
tt0068509,"Drive, He Said"
tt0068564,Winter Comes Early
tt0068575,Fat City
tt0068694,The Hero
tt0068795,Kansas City Bomber
tt0069222,Sapporo Winter Olympics
tt0069526,Young People
tt0069689,The All-American Boy
tt0069765,Bang the Drum Slowly
tt0070135,The Great American Cowboy
tt0070287,The Last American Hero
tt0070309,Libero
tt0070377,Maurie
tt0070462,Nummer 14 Johan Cruijff
tt0070730,Steel Arena
tt0070734,Steptoe and Son Ride Again
tt0070884,Visions of Eight
tt0071498,The Butt
tt0071942,One by One
tt0071966,Paperback Hero
tt0072236,The Swinging Cheerleaders
tt0072822,"Cornbread, Earl and Me"
tt0073074,The Great MacArthy
tt0073092,Hard Times
tt0073476,Odinnadtsat nadezhd
tt0073631,Rollerball
tt0073643,Run for the Roses
tt0074207,The Bingo Long Traveling All-Stars & Motor Kings
tt0074599,Gus
tt0075137,Revenge of the Cheerleaders
tt0075148,Rocky
tt0075718,The Bad News Bears in Breaking Training
tt0075778,The Boxer
tt0076111,The Greatest
tt0076212,"Stand Up Straight, Delfina"
tt0076500,One on One
tt0076578,Pumping Iron
tt0076721,Skateboard
tt0076723,Slap Shot
tt0076900,Vtoraya popytka Viktora Krokhina
tt0076916,White Rock
tt0077199,The Bad News Bears Go to Japan
tt0077235,Big Wednesday
tt0077303,Casey's Shadow
tt0077351,Coach
tt0077623,"Goodbye, Franklin High"
tt0077668,Here Come the Tigers
tt0077716,Ice Castles
tt0077743,International Velvet
tt0077864,They Called Him Bulldozer
tt0077952,Movie Movie
tt0078227,Semi-Tough
tt0078411,Totul pentru fotbal
tt0078872,The Black Stallion
tt0078902,Breaking Away
tt0078950,The Champ
tt0078960,The Great American Girl Robbery
tt0079002,Hothead
tt0079029,Dawn!
tt0079055,Dirt
tt0079080,Dreamer
tt0079136,Fast Break
tt0079138,Fast Company
tt0079154,The Fish That Saved Pittsburgh
tt0079225,Goldengirl
tt0079510,The Main Event
tt0079606,National Class Category Up to 785 Ccm
tt0079640,North Dallas Forty
tt0079709,Penitentiary
tt0079723,Players
tt0079771,Racquet
tt0079817,Rocky II
tt0079832,Running
tt0080381,Aria dla atlety
tt0080386,Asa Branca: A Brazilian Dream
tt0080483,Bystree sobstvennoy teni
tt0080487,Caddyshack
tt0080546,The Club
tt0080741,"Fist of Fear, Touch of Death"
tt0080750,Foolin' Around
tt0080898,Huang Fei Hong yu gui jiao qi
tt0080999,Karate Killer
tt0081003,Klincz
tt0081398,Raging Bull
tt0081517,Silver Dream Racer
tt0081547,Spetters
tt0081733,Speed Driver
tt0081964,...All the Marbles
tt0082090,Body and Soul
tt0082136,The Cannonball Run
tt0082158,Chariots of Fire
tt0082282,Dostih
tt0082540,Höjdhoppar'n
tt0082676,Longshot
tt0083284,Victory
tt0083304,Vosmoe chudo sveta
tt0083580,Ace of Aces
tt0083871,Eccezzziunale... veramente
tt0084011,G'olé!
tt0084236,The Last Fight
tt0084266,Dragon Lord
tt0084485,Penitentiary II
tt0084489,Personal Best
tt0084602,Rocky III
tt0084616,Running on Empty
tt0084690,Six Pack
tt0084718,Spring Fever
tt0085154,All the Right Moves
tt0085196,Auktsion
tt0085254,Blue Skies Again
tt0085260,The Champions
