tconst,primaryTitle
tt0060951,A Scream in the Streets
tt0062960,Fear Chamber
tt0063244,Love Toy
tt0063309,Misión cumplida
tt0063552,Hollywood Horror House
tt0063696,Tiger by the Tail
tt0064106,Le Boucher
tt0064143,Siege of Terror
tt0064177,Colossus: The Forbin Project
tt0064188,Crescendo
tt0064294,Horse
tt0064413,Helena y Fernanda
tt0064462,I Start Counting
tt0064630,Docteur Caraïbes
tt0064904,Hatchet for the Honeymoon
tt0064945,Schwarzer Nerz auf zarter Haut
tt0065143,The Bird with the Crystal Plumage
tt0065210,Whirlpool
tt0065377,Airport
tt0065398,And Soon the Darkness
tt0065401,Angel Unchained
tt0065424,Sweet Kill
tt0065439,The Confession
tt0065460,The Beast
tt0065470,Bigfoot
tt0065480,Bloodthirsty Butchers
tt0065515,The Sensuous Assassin
tt0065531,Le Cercle Rouge
tt0065553,Five Dolls for an August Moon
tt0065555,Violent City
tt0065574,Bust Out
tt0065584,Safety Catch
tt0065595,Crucible of Horror
tt0065618,Dead of Summer
tt0065619,Deadline
tt0065620,Deadlock
tt0065630,El tunco Maclovio
tt0065656,Dorian Gray
tt0065677,The Forbidden Photos of a Lady Above Suspicion
tt0065693,In the Folds of the Flesh
tt0065700,Entertaining Mr Sloane
tt0065711,The Executioner
tt0065720,Figures in a Landscape
tt0065735,Devil's Ransom
tt0065761,The Cat o' Nine Tails
tt0065770,La generala
tt0065780,Gimme Shelter
tt0065876,Ich schlafe mit meinem Mörder
tt0065892,Hard Women
tt0065916,Joe
tt0065931,Kaidan Kasane-ga-fuchi
tt0065950,The Kremlin Letter
tt0065957,The Lady in the Car with Glasses and a Gun
tt0065975,Churchill's Leopards
tt0066001,The Looking Glass War
tt0066045,Il tuo dolce corpo da uccidere
tt0066053,The Man Who Haunted Himself
tt0066098,Death Occurred Last Night
tt0066116,The Brutes
tt0066120,Na kolejích ceká vrah
tt0066126,The Losers
tt0066141,The Night Visitor
tt0066156,No Place to Hide
tt0066183,One More Time
tt0066192,Out 1: Spectre
tt0066242,Presage
tt0066248,Le printemps
tt0066250,Prom
tt0066258,Puppet on a Chain
tt0066318,The Breach
tt0066420,Sudden Terror
tt0066434,THX 1138
tt0066446,Terror in the Streets
tt0066463,The Todd Killings
tt0066484,Transplant of a Brain
tt0066497,Kill the Fatted Calf and Roast It
tt0066498,The Ear
tt0066501,Love Me Strangely
tt0066502,The Cop
tt0066505,Underground
tt0066536,The Crook
tt0066554,Die Weibchen
tt0066592,The Yin and the Yang of Mr. Go
tt0066605,Zig Zag
tt0066623,The Fourth Victim
tt0066735,Four Flies on Grey Velvet
tt0066754,Love Hate
tt0066756,Alta tensión
tt0066767,The Anderson Tapes
tt0066769,The Andromeda Strain
tt0066771,Angels Hard as They Come
tt0066802,The Manipulator
tt0066815,The Beast in the Cellar
tt0066819,The Beguiled
tt0066827,Asylum Erotica
tt0066830,The Big Doll House
tt0066845,Will to Die
tt0066889,The Great Swindle
tt0066905,Chain Gang Women
tt0066923,L'uomo più velenoso del cobra
tt0066924,The Case of the Scorpion's Tail
tt0066939,Cut-Throats Nine
tt0066945,The Double
tt0066968,Dash Akol
tt0066982,Demons of the Mind
tt0066995,Diamonds Are Forever
tt0066996,Die Screaming Marianne
tt0066999,Dirty Harry
tt0067010,Marta
tt0067015,Doña Macabra
tt0067076,Diary of a Rape
tt0067084,The Bloodstained Butterfly
tt0067095,Two Males for Alexa
tt0067100,Firecracker
tt0067105,Hot Traces of St. Pauli
tt0067109,Fools' Parade
tt0067119,Fright
tt0067128,Get Carter
tt0067134,The Fifth Cord
tt0067163,A Big Grey-Blue Bird
tt0067236,The Iguana with the Tongue of Fire
tt0067248,Inn of the Frightened People
tt0067256,L'istruttoria è chiusa: dimentichi
tt0067260,Seven Murders for Scotland Yard
tt0067274,Jo
tt0067300,Goodbye Friend
tt0067309,Klute
tt0067310,FBI Operation Pakistan
tt0067361,A Lizard in a Woman's Skin
tt0067365,The Lonely Violent Beach
tt0067375,Madame Sin
tt0067382,The Deadly Trap
tt0067390,Man of Violence
tt0067396,The Murder Mansion
tt0067419,The Mephisto Waltz
tt0067429,Caliber 9
tt0067434,My Dear Killer
tt0067446,Death Walks on High Heels
tt0067486,The Night Digger
tt0067487,The Night Evelyn Came Out of the Grave
tt0067488,The Night God Screamed
tt0067500,Tombs of the Blind Dead
tt0067511,Cold Eyes of Fear
tt0067513,Eye in the Labyrinth
tt0067520,In the Eye of the Hurricane
tt0067526,Cross Current
tt0067541,Wake in Fright
tt0067554,The Lion's Share
tt0067555,Parwana
tt0067588,Play Misty for Me
tt0067601,The Possession of Joel Delaney
tt0067602,Oasis of Fear
tt0067615,First Surrender
tt0067618,Private Duty Nurses
tt0067633,Punishment Park
tt0067656,A Bay of Blood
tt0067669,The Resurrection of Zachary Wheeler
tt0067696,Seven Blood-Stained Orchids
tt0067732,The Cannibal Man
tt0067741,Shaft
tt0067800,Straw Dogs
tt0067846,The Devil Came from Akasava
tt0067868,Angels of Terror
tt0067879,Sex of the Devil
tt0067880,Triangle
tt0067900,A Cop
tt0067904,Havoc
tt0067907,"Unman, Wittering and Zigo"
tt0067913,The Man with Icy Eyes
tt0067914,The Boxer
tt0067927,Vanishing Point
tt0067952,Villain
tt0067956,The Designated Victim
tt0067981,Who Killed Mary Whats'ername?
tt0067983,Whoever Slew Auntie Roo?
tt0067988,Wild Riders
tt0068005,You'll Like My Mother
tt0068024,Matalo! (Kill Him)
tt0068162,A.A.A. Massaggiatrice bella presenza offresi...
tt0068179,The Sicilian Connection
tt0068186,Tropic of Cancer
tt0068206,Amuck
tt0068227,The Killer Is on the Phone
tt0068233,The Assassination
tt0068264,Ben
tt0068272,A White Dress for Marialé
tt0068281,Black Gunn
tt0068282,Black Mama White Mama
tt0068288,Blood Orgy of the She-Devils
tt0068292,The Devil with Seven Faces
tt0068294,Bluebeard
tt0068306,Bone
tt0068312,Boy posle pobedy
tt0068337,The Carey Treatment
tt0068343,La casa de las muertas vivientes
tt0068347,The Burglars
tt0068369,Child's Play
tt0068382,Cinco mil dolares de recompensa
tt0068384,Cisco Pike
tt0068394,Knife of Ice
tt0068413,Corky
tt0068415,Seven Deaths in the Cat's Eyes
tt0068416,What Have You Done to Solange?
tt0068431,Cu mâinile curate
tt0068432,Cuando quiero llorar no lloro
tt0068440,The Bloody Slaying of Sarah Ridelander
tt0068457,Deathdream
tt0068471,Delirio caldo
tt0068473,Deliverance
tt0068484,Devil in the Brain
tt0068485,"Die Sister, Die!"
tt0068490,Disco rojo
tt0068540,Enter the Devil
tt0068547,El espectro del terror
tt0068577,Fear in the Night
tt0068611,Frenzy
tt0068625,The Dead Are Alive!
tt0068638,The Getaway
tt0068640,Girls on the Road
tt0068698,Hickey & Boggs
tt0068716,Tower of Evil
tt0068724,The Inheritor
tt0068737,The Burglar
tt0068763,The Jerusalem File
tt0068777,Naked Girl Murdered in the Park
tt0068783,El juez de la soga
tt0068820,Krug
tt0068833,The Last House on the Left
tt0068902,The Italian Connection
tt0068904,The Shrine of Ultimate Bliss
tt0068931,The Mechanic
tt0068964,The Great Treasure Hunt
tt0068969,Morbidness
tt0068971,Death Walks at Midnight
tt0068973,La morte scende leggera
tt0068978,La muerte incierta
tt0069004,Night of the Cobra Woman
tt0069005,Night of the Lepus
tt0069007,The Nightcomers
tt0069017,Night of the Devils
tt0069019,Don't Torture a Duckling
tt0069022,Northeast of Seoul
tt0069064,Passi di danza su una lama di rasoio
tt0069073,The Case of the Bloody Iris
tt0069117,Prata Palomares
tt0069129,The Prophet Mimi
tt0069135,The Punishment
tt0069143,The Killer with a Thousand Eyes
tt0069158,Rage
tt0069219,Without Apparent Motive
tt0069238,My Brother Has Bad Dreams
tt0069241,Touch Me Not
tt0069243,Someone Is Bleeding
tt0069251,The Serpent
tt0069253,The Crimes of the Black Cat
tt0069270,Escape to Nowhere
tt0069278,Skyjacked
tt0069281,Sleuth
tt0069282,Slither
tt0069299,Something to Hide
tt0069301,Smile Before Death
tt0069312,Stigma
tt0069314,The Stuff That Dreams Are Made of
tt0069318,Straight on Till Morning
tt0069320,The Strange Vengeance of Rosalie
tt0069343,Black Belly of the Tarantula
tt0069363,The Terror with Cross-Eyes
tt0069364,Who Killed the Prosecutor and Why?
tt0069371,They Only Kill Their Masters
tt0069386,To Kill a Clown
tt0069435,Sarah's Last Man
tt0069463,La violenza: Quinto potere
tt0069530,Z.P.G.
tt0069683,The Hour of Parting
tt0069730,"The Weapon, the Hour, the Motive"
tt0069734,The Killer Is One of 13
tt0069735,The Killer is Not Alone
tt0069739,Assassin
tt0069754,The Baby
tt0069756,Baciamo le mani
tt0069761,Badge 373
tt0069772,Because of the Cats
tt0069784,The Big Bust-Out
tt0069796,Black Snake
tt0069797,Blade
tt0069818,The Boss
tt0069838,Bell from Hell
tt0069840,The Candy Snatchers
tt0069850,The French Sex Murders
tt0069865,Charley Varrick
tt0069890,Cleopatra Jones
tt0069897,Coffy
tt0069917,Only Love Defies
tt0069920,Torso
tt0069930,Countess Perverse
tt0069944,The Daring Dobermans
tt0069946,The Day of the Dolphin
tt0069947,The Day of the Jackal
tt0069952,Deadly Weapons
tt0069973,Sinner: The Secret Diary of a Nymphomaniac
tt0069994,Don't Look in the Basement
tt0070031,A Diary of a Murderess
tt0070062,The Flower with the Deadly Sting
tt0070081,Los fríos senderos del crimen
tt0070087,Wit's End
tt0070097,Gehri Chaal
tt0070116,Successive Slidings of Pleasure
tt0070127,Gott schützt die Liebenden
tt0070162,Hay que matar a B.
tt0070185,The Man from Maisinicu
tt0070253,Jugnu
tt0070284,Lady Ice
tt0070289,The Final Programme
tt0070292,The Laughing Policeman
tt0070300,Lemora: A Child's Tale of the Supernatural
tt0070312,A Dragonfly for Each Corpse
tt0070328,Live and Let Die
tt0070351,The MacKintosh Man
tt0070370,La mano spietata della legge
tt0070379,Mean Streets
tt0070387,Meridiano 100
tt0070393,The Violent Professionals
tt0070416,Mister Kingstreet's War
tt0070417,The Killer Wore Gloves
tt0070430,Naakt over de schutting
tt0070432,No One Heard the Scream
tt0070444,Night Watch
tt0070451,Beyond Erotica
tt0070453,Wedding in Blood
tt0070468,The Offence
tt0070512,The Student Connection
tt0070531,Phase IV
tt0070543,Fun for Three
tt0070552,High Crime
tt0070556,Poor Pretty Eddie
tt0070565,The Perfume of the Lady in Black
tt0070572,An Eye for an Eye
tt0070636,Satanico Pandemonium
tt0070641,Slap the Monster on Page One
tt0070653,Scorpio
tt0070694,"Silent Night, Bloody Night"
tt0070698,Sisters
tt0070705,Slaughter in San Francisco
tt0070709,Dirty Fingers
tt0070743,The Student Teachers
tt0070746,Sugar Cookies
tt0070774,Game of Murder
tt0070779,Tender and Perverse Emanuelle
tt0070782,Terminal Island
tt0070888,Voices
tt0070909,Westworld
tt0070916,"Wicked, Wicked"
tt0070917,The Wicker Man
tt0070944,The Young Nurses
tt0070963,El último viaje
tt0071080,11 Harrowhouse
tt0071086,5 donne per l'assassino
tt0071107,Afrika
tt0071110,Airport 1975
tt0071136,Hot Acts of Love
tt0071138,Cold Blood
tt0071164,The Killer of Dolls
tt0071167,The Killer Reserved Nine Seats
tt0071185,Il baco da seta
tt0071187,The Castro's Abbess
tt0071189,The Bamboo House of Dolls
tt0071205,Benaam
tt0071222,Black Christmas
tt0071229,The Black Windmill
tt0071256,The Ghost Galleon
tt0071265,The Cage
tt0071270,Callan
tt0071274,Candy Stripe Nurses
tt0071275,Rabid Dogs
tt0071278,Caravan to Vaccares
tt0071280,Carnal Revenge
tt0071292,Open Season
tt0071295,The Centerfold Girls
tt0071297,The Flesh of the Orchid
tt0071309,Special Killers
tt0071315,Chinatown
tt0071326,"Clap, You're Dead"
tt0071330,Street Law
tt0071341,School of Death
tt0071354,El comisario G. en el caso del cabaret
tt0071360,The Conversation
tt0071362,The Body
tt0071363,Smiling Maniacs
tt0071391,Dark Places
tt0071394,Dead Cert
tt0071398,Deadly Strangers
tt0071408,Deranged: Confessions of a Necrophile
tt0071409,Last Leap
tt0071424,Dirty Mary Crazy Larry
tt0071451,Défense de savoir
tt0071452,Say It with Flowers
tt0071455,Earthquake
tt0071459,One or the Other
tt0071509,The Florida Connection
tt0071517,Foxy Brown
tt0071547,Vortex
tt0071566,Gold
tt0071626,The Bride
tt0071639,I Dismember Mama
tt0071642,Girls for Rent
tt0071650,Ilsa: She Wolf of the SS
tt0071654,Impulse
tt0071658,Death Will Have Your Eyes
tt0071661,Inn of the Damned
tt0071663,The Internecine Project
tt0071706,Juggernaut
tt0071721,The Klansman
tt0071765,El llanto de la tortuga
tt0071768,La loba y la Paloma
tt0071795,The Devil's Female
tt0071800,Compulsed
tt0071802,Mama's Dirty Girls
tt0071806,Man on a Swing
tt0071807,The Man with the Golden Gun
tt0071808,Blood Stains in a New Car
tt0071819,La Mary
tt0071820,Master Samurai
