tconst,primaryTitle
tt0036606,"Another Time, Another Place"
tt0038687,Let There Be Light
tt0063860,The Last Day of the War
tt0064195,Girls for Mercenaries
tt0064377,Golpe de mano (Explosión)
tt0064386,The Fifth Day of Peace
tt0064803,Pesn o Manshuk
tt0064858,Pyat dney otdykha
tt0064864,El quelite
tt0064964,Overrun!
tt0065111,Too Little for Such a Big War
tt0065134,Two Mules for Sister Sara
tt0065418,La araucana
tt0065437,Aus unserer Zeit
tt0065457,Beg
tt0065528,Catch-22
tt0065572,When Heroes Die
tt0065673,Dzien oczyszczenia
tt0065767,The Militarists
tt0065770,La generala
tt0065777,The Garden of the Finzi-Continis
tt0065782,Sunflower
tt0065825,Hell Boats
tt0065838,Hoa Binh
tt0065850,Hornets' Nest
tt0065861,The Fed One
tt0065900,Io non scappo... fuggo
tt0065908,How I Unleashed World War II
tt0065914,Jarzebina czerwona
tt0065922,Julius Caesar
tt0065938,Kelly's Heroes
tt0065966,The Last Escape
tt0065967,The Last Grenade
tt0065969,The Last Valley
tt0065975,Churchill's Leopards
tt0066026,MASH
tt0066064,The McKenzie Break
tt0066067,My Zero Hour
tt0066108,Atlantic Wall
tt0066171,O.K.
tt0066185,The Only Way
tt0066206,Patton
tt0066282,Raj na ziemi
tt0066283,The Rangers
tt0066301,Rio Lobo
tt0066323,Sól ziemi czarnej
tt0066386,Sluchay s Polyninym
tt0066471,Too Late the Hero
tt0066505,Underground
tt0066511,Many Wars Ago
tt0066530,Long Live Death
tt0066564,Which Way to the Front?
tt0066606,Znicz olimpijski
tt0066745,"Adiós, Sabata"
tt0066784,Armiamoci e partite!
tt0066819,The Beguiled
tt0066883,The French Calvinists
tt0066885,Cao-Xa
tt0066929,The Dove Must Not Fly
tt0066963,Dad's Army
tt0067033,Los días del amor
tt0067140,"Duck, You Sucker!"
tt0067269,Jeszcze slychac spiew i rzenie koni
tt0067277,Johnny Got His Gun
tt0067284,KLK Calling PTZ: The Red Orchestra
tt0067337,Legenda
tt0067364,La lunga ombra del lupo
tt0067441,La montaña rebelde
tt0067458,Murphy's War
tt0067467,Red Psalm
tt0067497,"No Drums, No Bugles"
tt0067517,Officers
tt0067523,Battle of Okinawa
tt0067545,The Lost Forest
tt0067605,Poezd v dalyokiy avgust
tt0067625,Trial on the Road
tt0067650,Raid on Rommel
tt0067667,Appointment in Bray
tt0067693,To the Last Man
tt0067694,Die Russen kommen
tt0067853,Ti ekanes ston polemo Thanasi
tt0067885,The Third Part of the Night
tt0067889,Twarz aniola
tt0067895,The Pine Tree in the Mountain
tt0067920,Guns of War
tt0068014,Zeppelin
tt0068161,The Dawns Here Are Quiet
tt0068312,Boy posle pobedy
tt0068544,The Heroes
tt0068812,The Commander of the Lucky Pike
tt0068984,My Old Man's Place
tt0069054,Our Miss Fred
tt0069168,Reed: Insurgent Mexico
tt0069256,El señor de Osanto
tt0069329,Summer Soldiers
tt0069412,Trotz alledem!
tt0069452,Walter Defends Sarajevo
tt0069471,Vlak do stanice Nebe
tt0069528,Young Winston
tt0069803,The Blockhouse
tt0069814,Bombasi
tt0069837,Those Dirty Dogs
tt0069880,Chyornyy kapitan
tt0069972,Diario di un italiano
tt0069982,Days of Betrayal
tt0070008,Duma o Kovpake: Nabat
tt0070010,Dva dnya trevogi
tt0070017,Not Scared to Die
tt0070036,Heroes in Hell
tt0070356,Now Where Did the Seventh Company Get to?
tt0070562,Prisoners
tt0070586,Nothing to Report
tt0070592,Massacre in Rome
tt0070663,Anno Domini 1573
tt0070758,The Battle of Sutjeska
tt0070759,Svadba
tt0070760,Swastika
tt0070768,When Taekwondo Strikes
tt0070823,Trader Horn
tt0070826,The Train
tt0070835,The Triple Echo
tt0070861,Only Old Men Are Going to Battle
tt0071161,She Devils of the SS
tt0071211,Between Wars
tt0071214,Sadsacks Go to War
tt0071327,Ciemna rzeka
tt0071371,Massacre at Noon
tt0071525,Front bez flangov
tt0071604,Hearts and Minds
tt0071621,Horká zima
tt0071633,Hubal
tt0071711,"Captain Mikula, the Kid"
tt0071733,"Lacombe, Lucien"
tt0071891,Nagrody i odznaczenia
tt0071927,Novios de la muerte
tt0071956,Written Off
tt0072017,Poslední ples na roznovske plovarne
tt0072041,Promised Lands
tt0072053,Let Joy Reign Supreme
tt0072273,There Is No 13
tt0072371,Les violons du bal
tt0072384,Vysokoe zvanie. Dilogiya: Film vtoroy. Radi zhizni na zemle
tt0072389,Warhead
tt0072433,Yunga Severnogo flota
tt0072630,Am Ende der Welt
tt0072656,The Tree of Guernica
tt0072684,Barry Lyndon
tt0072746,Die Brücke von Zupanja
tt0072774,Champagner aus dem Knobelbecher
tt0072850,The General's Daughter
tt0072859,Decak i violina
tt0072893,Doktor Mladen
tt0072916,Duma o Kovpake: Buran
tt0072921,The Voyage Into the Whirlpool Has Begun
tt0073089,Attack at Dawn
tt0073257,De laatste trein
tt0073312,Love and Death
tt0073341,The Man Who Would Be King
tt0073426,The Cape of Good Hope
tt0073433,Na yasnyy ogon
tt0073460,Noce i dnie
tt0073488,They Fought for Their Country
tt0073489,Opadly liscie z drzew
tt0073490,Operation Lady Marlene
tt0073502,Overlord
tt0073622,Return of the 18 Bronzemen
tt0073654,Brothel No. 8
tt0073864,The Old Gun
tt0073877,W te dni przedwiosenne
tt0073911,Winstanley
tt0073929,Znikad donikad
tt0073939,Zwyciestwo
tt0074060,The Standard
tt0074100,And Agnes Chose to Die
tt0074161,"Aty-baty, shli soldaty..."
tt0074170,7 Man Army
tt0074286,Carry on England
tt0074370,Zero Pilot
tt0074395,Deported Women of the SS Special Section
tt0074400,The Desert of the Tartars
tt0074405,Maiden Bridge
tt0074446,"Duma o Kovpake: Karpaty, Karpaty..."
tt0074447,Twenty Days Without War
tt0074469,Captive Women 4
tt0074515,Coup de Grâce
tt0074569,The Gestapo's Last Orgy
tt0074695,Cross of Iron
tt0074768,SS Experiment Love Camp
tt0074848,"Mama, I'm Alive"
tt0074891,The Memory of Justice
tt0074911,Moja wojna - moja milosc
tt0074972,Black and White in Color
tt0074993,Ocalic miasto
tt0075007,The Seventh Company Has Been Found
tt0075019,Operation Daybreak
tt0075040,Seven Beauties
tt0075094,The Written Off Return
tt0075118,La question
tt0075131,Family Portrait
tt0075153,Redhead
tt0075162,Salas u Malom Ritu
tt0075163,Madam Kitty
tt0075203,The 18 Bronzemen
tt0075279,Zero Hour
tt0075404,The Ascent
tt0075406,Voyage of the Damned
tt0075407,The Peaks of Zelengore
tt0075467,The Fifth Seal
tt0075627,Aces High
tt0075649,Operation Stadium
tt0075713,The Longest Bridge
tt0075784,A Bridge Too Far
tt0075885,Le Crabe-Tambour
tt0075968,The Duellists
tt0076056,Front za liniey fronta
tt0076102,The Biggest Battle
tt0076297,The Last Remake of Beau Geste
tt0076311,Fliers of the Open Skies
tt0076442,The Naval Commandos
tt0076577,"Ptaki, ptakom..."
tt0076584,The Inglorious Bastards
tt0076646,As Ruínas no Interior
tt0076649,The Beast in Heat
tt0076668,Submission
tt0076758,"Stand Up, Virgin Soldiers"
tt0076777,Stormtroopers
tt0076778,Sudba
tt0076836,Hitler's Last Train
tt0076842,Trini
tt0077134,Akcja pod Arsenalem
tt0077208,Barkhatnyy sezon
tt0077270,The Boys in Company C
tt0077283,The Mace with Three Seals
tt0077362,Coming Home
tt0077416,The Deer Hunter
tt0077444,Do krwi ostatniej
tt0077480,Dóra jelenti
tt0077572,Force 10 from Navarone
tt0077617,Go Tell the Spartans
tt0077983,Tryasina
tt0078061,Partita na instrument drewniany
tt0078066,Pastorale 1943
tt0078079,Little Girl in Blue Velvet
tt0078320,Breakthrough
tt0078511,Wszyscy i nikt
tt0078532,Huso astgh
tt0078723,1941
tt0078730,The Abandoned Field: Free Fire Zone
tt0078788,Apocalypse Now
tt0078832,Partizanska eskadrila
tt0078875,The Tin Drum
tt0078897,Bosko Buha
tt0079004,Cózes ty za pani...
tt0079019,From Hell to Victory
tt0079021,Dachnaya poezdka serzhanta Tsybuli
tt0079028,David
tt0079084,Droga daleka przed nami...
tt0079101,Elegia
tt0079191,Game for Vultures
tt0079246,Guaguasi
tt0079305,Raiding Party
tt0079497,Operation Leopard
tt0079576,More American Graffiti
tt0079644,November 1828
tt0079652,The Odd Angry Shot
tt0079659,Occupation in 26 Pictures
tt0079680,Osobo vazhnoye zadaniye
tt0079692,Pakleni otok
tt0079695,Pani Mariya
tt0079700,The Passage
tt0079743,Povratak
tt0079748,Prijeki sud
tt0079934,Sonntagskinder
tt0079953,Sto koni do stu brzegów
tt0080038,The Medic
tt0080052,Ty pomnish?
tt0080069,Usijanje
tt0080110,Woman Between Wolf and Dog
tt0080137,Wing Commander
tt0080157,Yanks
tt0080310,Breaker Morant
tt0080316,The Battle of Port Arthur
tt0080355,The Boy Soldier
tt0080437,The Big Red One
tt0080494,Mercenaries' Trap
tt0080518,Charlotte
tt0080537,Circus maximus
tt0080571,The Red Horse
tt0080581,Cukrová bouda
tt0080610,The Last Metro
tt0080616,Germany Pale Mother
tt0080979,Kagemusha
tt0081041,Lesson of a Dead Language
tt0081053,The Life and Times of Rosie the Riveter
tt0081084,A Mess in the House
tt0081087,Lumina palida a durerii
tt0081274,Olimpiada 40
tt0081331,Petria's Wreath
tt0081375,Private Benjamin
tt0081378,Defiant Delta
tt0081388,Pugovitsa
tt0081470,The Sea Wolves
tt0081531,"Snadji se, druze"
tt0081579,Sverige åt svenskarna
tt0081670,Ty dolzhen zhit
tt0081692,Men or Not Men
tt0081731,Vtorzheniye
tt0081775,Wyrok smierci
tt0081781,Xiao hua
tt0081787,Yesterday
tt0081805,Zielone lata
tt0081821,The Inheritance
tt0081998,Little Alexander
tt0082095,The Boat Is Full
tt0082096,The Boat
tt0082219,The Fault
tt0082351,Eye of the Needle
tt0082421,Front v tylu vraga
tt0082429,Circle of Deceit
tt0082532,How Sleep the Brave
tt0082545,Ideiglenes paradicsom
tt0082566,Intrusion: Cambodia
tt0082653,La leyenda del tambor
tt0082893,The Skin
tt0082925,Polonia restituta
tt0083012,The Lynx
tt0083017,Casa privata per le SS
tt0083028,You Love Only Once
tt0083131,Stripes
tt0083145,Zvezdopad
tt0083205,Fuga dall'arcipelago maledetto
tt0083284,Victory
tt0083507,13. jul
tt0083543,Alsino and the Condor
tt0083567,Antonieta
tt0083736,Ciao nemico
tt0083843,"Don't Cry, It's Only Thunder"
tt0084075,Himeyuri no Tô
tt0084089,A Captain's Honor
tt0084132,Inchon
tt0084204,Cyclops
tt0084333,Miris dunja
tt0084351,Monsignor
tt0084492,Little Wars
tt0084538,Privates on Parade
tt0084544,Progon
tt0084889,The Wars
tt0084932,Esli vrag ne sdayotsya...
tt0084947,Lepuri me pesë këmbë
tt0085190,For Those I Loved
tt0085198,Austeria
tt0085215,Balkan ekspres
tt0085370,Entre Nous
tt0085481,Ekipazh mashiny boevoy
tt0085598,Glowy pelne gwiazd
tt0085620,The Imperial Navy
tt0085688,Brady's Escape
tt0085713,Igmanski mars
tt0085770,Kalabaliken i Bender
tt0085787,The Kid Who Couldn't Miss
tt0085823,Last Plane Out
tt0085829,The Lion of Flanders
tt0085839,"Liberté, la nuit"
tt0085911,Clash of Loyalties
tt0085916,Matka Królów
tt0085933,Merry Christmas Mr. Lawrence
tt0086017,Funny Dirty Little War
tt0086053,Operation Shtreimel
tt0086056,"Oro, Plata, Mata"
tt0086079,Gramps Is in the Resistance
tt0086124,Po zakonam voennogo vremeni
tt0086173,Raskenstam
tt0086377,Streamers
tt0086447,The Millennial Bee
tt0086450,To Be or Not to Be
tt0086459,The Last Blood
tt0086474,Treasure of the Lost Desert
tt0086502,Battle Anthem
tt0086510,Under Fire
tt0086531,Veliki transport
tt0086617,The Year of Living Dangerously
tt0086621,Yi ge he ba ge
tt0086897,Angela's War
tt0086955,Best Defense
tt0086969,Birdy
tt0086975,Blanche and Marie
tt0086983,Wedle wyroków twoich...
tt0087045,The Children of the War
tt0087131,Deystvuy po obstanovke!
tt0087137,Hong Kong 1941
tt0087283,Fort 13
tt0087284,Fort Saganne
tt0087542,Katastrofa w Gibraltarze
tt0087571,Children of Nagasaki
tt0087599,The Last Winter
tt0087689,Massive Retaliation
tt0087771,Na strazy swej stac bede
tt0087792,Nie bylo slonca tej wiosny
tt0087888,"Partir, revenir"
tt0087905,Pervaya konnaya
tt0087956,Purple Hearts
tt0087959,Love in a Fallen City
tt0087980,The Razor's Edge
tt0088009,A Year of the Quiet Sun
tt0088012,Romans z intruzem
tt0088093,MacArthur's Children
tt0088213,Swing Shift
tt0088345,Soldier's Revenge
tt0088383,Adieu Bonaparte
tt0088449,Zero
tt0088723,Angkor: Cambodia Express
tt0088746,The Assisi Underground
tt0088810,The Burmese Harp
tt0088811,Angry Harvest
tt0088812,Het bittere kruid
tt0088921,The Black Arrow
tt0088934,Code Name: Emerald
tt0089023,The Devastator
tt0089030,Dluznicy smierci
tt0089079,Eleni
tt0089161,Forbidden
tt0089207,Days of Hell
tt0089266,Heidenlöcher
tt0089315,"Hány az óra, Vekker úr?"
tt0089323,Private Resistance
tt0089336,An Indecent Obsession
tt0089407,Kartka z podrózy
tt0089417,Kim jest ten czlowiek?
tt0089463,Latino
tt0089483,The Liberation of Auschwitz
tt0089565,Mata Hari
tt0089594,The Go Masters
tt0089707,November Moon
tt0089763,Pacific Inferno
tt0089766,Palace
tt0089828,Porokh
tt0089874,Radi neskolkikh strochek
tt0089881,Ran
tt0089903,The Lost Republic II
tt0089955,Sam posród swoich
tt0090015,Shoah
tt0090215,The Unknown Soldier
tt0090250,The Heifer
tt0090280,Vreme leoparda
tt0090283,W cieniu nienawisci
tt0090340,Wreaths at the Foot of the Mountain
tt0090365,Zastihla me noc
tt0090677,Avanti popolo
tt0090772,Bridge to Hell
tt0090946,Wild Wind
tt0090956,Eastern Condors
tt0090964,Douce France
tt0091005,Elysium
tt0091019,Every Time We Say Goodbye
tt0091026,Eye of the Eagle
tt0091045,Field of Honor
tt0091050,Final Mission
tt0091179,The House on the River
tt0091187,Heartbreak Ridge
tt0091196,The Bastard Brother of God
tt0091251,Come and See
tt0091263,In de schaduw van de overwinning
tt0091278,Iron Eagle
tt0091283,Jan on the Barge
tt0091359,Cuckoo in a Dark Forest
tt0091716,Papilio
tt0091763,Platoon
tt0091831,Rebel Love
tt0091876,Rus iznachalnaya
tt0091892,Sarraounia
tt0091914,The Second Victory
tt0091950,Ricochets
tt0091963,Sky Bandits
tt0091976,Forbidden Dreams
tt0091997,Brothers in Blood
tt0092136,Unfinished Business
tt0092153,Vecernja zvona
tt0092264,Heroes Shed No Tears
tt0092281,Zaproszenie
tt0092293,Sign of Disaster
tt0092526,Aktsiya
tt0092593,"Goodbye, Children"
tt0092713,H.M. Deserters
tt0092716,Camp de Thiaroye
