tconst,primaryTitle
tt0063846,"Zorro, Rider of Vengeance"
tt0064150,La sfida dei MacKenna
tt0064273,And God Said to Cain...
tt0064633,Awkward Hands
tt0064649,The McMasters
tt0065065,A Talent for Loving
tt0065248,Zorro the Invincible
tt0065367,Dig Your Grave Friend... Sabata's Coming
tt0065373,"20,000 dólares por un cadáver"
tt0065407,The Animals
tt0065422,"Arizona Colt, Hired Gun"
tt0065425,Sabata the Killer
tt0065451,Barquero
tt0065499,"Have a Nice Funeral on Me, Amigo... Sartana"
tt0065509,Sartana's Here... Trade Your Pistol for a Coffin
tt0065520,Cannon for Cordoba
tt0065547,Chisum
tt0065550,The Unholy Four
tt0065560,The Cockeyed Cowboys of Calico County
tt0065596,"Cry Blood, Apache"
tt0065620,Deadlock
tt0065630,El tunco Maclovio
tt0065638,Stagecoach of the Condemned
tt0065642,Dirty Dingus Magee
tt0065646,Django Defies Sartana
tt0065726,Flap
tt0065784,Down with Your Hands... You Scum!
tt0065804,Gold for the Tough Guys of the Prairie
tt0065890,Inginocchiati straniero... I cadaveri non fanno ombra!
tt0065943,King of the Grizzlies
tt0065968,The Last Rebel
tt0065991,His Name Was Holy Ghost
tt0065992,Sartana Kills Them All
tt0066032,Machismo: 40 Graves for 40 Guns
tt0066033,Macho Callahan
tt0066034,Madron
tt0066049,A Man Called Horse
tt0066050,A Man Called Sledge
tt0066093,Monte Walsh
tt0066167,Light the Fuse... Sartana Is Coming
tt0066188,Chapaqua's Gold
tt0066210,Coffin Full of Dollars
tt0066230,Bullets Over Dallas
tt0066240,Shoot the Living and Pray for the Dead
tt0066287,Rebels of Arizona
tt0066295,Reverend's Colt
tt0066301,Rio Lobo
tt0066315,Roy Colt & Winchester Jack
tt0066331,Twenty Paces to Death
tt0066333,Ballad of Death Valley
tt0066346,Finders Killers
tt0066350,"You're Jinxed, Friend You've Met Sacramento"
tt0066364,Shango
tt0066390,Soldier Blue
tt0066448,There Was a Crooked Man...
tt0066485,The Traveling Executioner
tt0066496,Tödlicher Irrtum
tt0066612,Compañeros
tt0066729,He Was Called the Holy Ghost
tt0066745,"Adiós, Sabata"
tt0066764,Anche per Django le carogne hanno un prezzo
tt0066809,Il lungo giorno della violenza
tt0066831,Big Jake
tt0066834,Black Beauty
tt0066835,Black Killer
tt0066844,Blindman
tt0066865,Brothers Blue
tt0066868,And the Crows Will Dig Your Grave
tt0066900,Catlow
tt0066907,Chato's Land
tt0066928,Trinity Sees Red
tt0066930,Four Candles for Garringo
tt0066939,Cut-Throats Nine
tt0066984,The Devil's Backbone
tt0067003,'Doc'
tt0067011,Adios Compañeros
tt0067034,Prey of Vultures
tt0067057,"His Name Was Sam Walbash, But They Call Him Amen"
tt0067135,Day of Judgment
tt0067140,"Duck, You Sucker!"
tt0067142,They Call Him Cemetery
tt0067168,A Gunfight
tt0067204,The Hired Hand
tt0067224,The Hunting Party
tt0067246,Indio
tt0067258,J W Coop
tt0067325,Ein langer Ritt nach Eden
tt0067333,Lawman
tt0067354,His Name Was King
tt0067355,They Call Me Trinity
tt0067388,Man in the Wilderness
tt0067411,McCabe & Mrs. Miller
tt0067452,More Dollars for the MacGregors
tt0067462,The Boldest Job in the West
tt0067531,One More Train to Rob
tt0067600,Pistol Packin' Preacher
tt0067637,The Legend of Frenchie King
tt0067643,One Damned Day at Dawn... Django Meets Sartana!
tt0067672,Return of Sabata
tt0067676,Brother Outlaw
tt0067750,Shoot Out
tt0067763,Skin Game
tt0067769,Dead Men Ride
tt0067770,Red Sun
tt0067780,South of Hell Mountain
tt0067806,His Name Was Pot... But They Called Him Allegria
tt0067809,Support Your Local Gunfighter
tt0067866,El Topo
tt0067870,A Town Called Hell
tt0067903,A Girl Is a Gun
tt0067912,Apocalypse Joe
tt0067921,Valdez Is Coming
tt0067931,Vengeance Is a Dish Served Cold
tt0067936,Vente a ligar al Oeste
tt0067979,Whity
tt0067989,Wild Rovers
tt0068154,Trinity Is Still My Name
tt0068184,Beyond the Frontiers of Hate
tt0068194,Judge Roy Bean
tt0068203,Ben and Charlie
tt0068222,Stay Away from Trinity... When He Comes to Eldorado
tt0068234,Watch Out Gringo! Sabata Will Return
tt0068242,Red Hot Zorro
tt0068245,Bad Company
tt0068246,Bad Man's River
tt0068250,God in Heaven... Arizona on Earth
tt0068293,Bloody Trail
tt0068323,Buck and the Preacher
tt0068344,"Holy God, Here Comes the Passatore!"
tt0068358,Charley-One-Eye
tt0068393,Colt in the Hand of the Devil
tt0068418,Therefore It Is
tt0068421,The Cowboys
tt0068423,Too Much Gold for One Gringo
tt0068434,You Are a Traitor and I'll Kill You!
